#,Date-Time (PDT),RH   (%),Dew Point   (??C),Host Connected,End of File
41,5/21/2024 14:08,14.38,-10.79,,
42,5/21/2024 14:13,14.38,-10.94,,
43,5/21/2024 14:18,13.67,-11.49,,
44,5/21/2024 14:23,13.8,-11.34,,
45,5/21/2024 14:28,14.05,-11.24,,
46,5/21/2024 14:33,14.01,-11.32,,
47,5/21/2024 14:38,14.25,-10.76,,
48,5/21/2024 14:43,12.8,-11.67,,
49,5/21/2024 14:48,13.83,-10.59,,
50,5/21/2024 14:53,13.22,-11.08,,
51,5/21/2024 14:58,13.76,-10.64,,
52,5/21/2024 15:03,12.94,-11.37,,
53,5/21/2024 15:08,13.37,-10.98,,
54,5/21/2024 15:13,13.19,-11.25,,
55,5/21/2024 15:18,14.19,-10.4,,
56,5/21/2024 15:23,14.05,-10.47,,
57,5/21/2024 15:28,13.41,-10.66,,
58,5/21/2024 15:33,13.38,-10.5,,
59,5/21/2024 15:38,13.02,-10.89,,
60,5/21/2024 15:43,13.91,-10.35,,
61,5/21/2024 15:48,12.76,-11.39,,
62,5/21/2024 15:53,12.81,-11.37,,
63,5/21/2024 15:58,13.94,-10.52,,
64,5/21/2024 16:03,14.04,-10.13,,
65,5/21/2024 16:08,13.48,-10.38,,
66,5/21/2024 16:13,13.54,-10.24,,
67,5/21/2024 16:18,13,-10.6,,
68,5/21/2024 16:23,13.52,-9.92,,
69,5/21/2024 16:28,12.83,-10.41,,
70,5/21/2024 16:33,12.9,-10.17,,
71,5/21/2024 16:38,13.41,-9.83,,
72,5/21/2024 16:43,13.3,-9.79,,
73,5/21/2024 16:48,13.28,-9.72,,
74,5/21/2024 16:53,12.18,-10.99,,
75,5/21/2024 16:58,12.67,-10.85,,
76,5/21/2024 17:03,12.21,-11.51,,
77,5/21/2024 17:08,15.07,-8.81,,
78,5/21/2024 17:13,14.99,-8.96,,
79,5/21/2024 17:18,15.46,-8.53,,
80,5/21/2024 17:23,15.48,-8.68,,
81,5/21/2024 17:28,15.28,-8.82,,
82,5/21/2024 17:33,15.77,-8.56,,
83,5/21/2024 17:38,15.85,-8.52,,
84,5/21/2024 17:43,15.53,-8.74,,
85,5/21/2024 17:48,16.11,-8.43,,
86,5/21/2024 17:53,15.9,-8.59,,
87,5/21/2024 17:58,16.02,-8.56,,
88,5/21/2024 18:03,15.73,-8.96,,
89,5/21/2024 18:08,15.88,-8.96,,
90,5/21/2024 18:13,15.81,-9.02,,
91,5/21/2024 18:18,15.92,-9.05,,
92,5/21/2024 18:23,15.97,-9.09,,
93,5/21/2024 18:28,16.06,-9.1,,
94,5/21/2024 18:33,16.23,-9.1,,
95,5/21/2024 18:38,16.61,-8.95,,
96,5/21/2024 18:43,16.31,-9.29,,
97,5/21/2024 18:48,16.62,-9.17,,
98,5/21/2024 18:53,16.51,-9.46,,
99,5/21/2024 18:58,16.65,-9.53,,
100,5/21/2024 19:03,17.25,-9.26,,
101,5/21/2024 19:08,17.18,-9.4,,
102,5/21/2024 19:13,16.97,-9.67,,
103,5/21/2024 19:18,17.39,-9.5,,
104,5/21/2024 19:23,17.61,-9.51,,
105,5/21/2024 19:28,17.73,-9.65,,
106,5/21/2024 19:33,18.05,-9.65,,
107,5/21/2024 19:38,17.87,-10.01,,
108,5/21/2024 19:43,18.04,-10.13,,
109,5/21/2024 19:48,18.39,-10.08,,
110,5/21/2024 19:53,18.64,-10.17,,
111,5/21/2024 19:58,19.53,-9.9,,
112,5/21/2024 20:03,20.23,-9.88,,
113,5/21/2024 20:08,20.64,-10.01,,
114,5/21/2024 20:13,21.24,-10.02,,
115,5/21/2024 20:18,21.44,-10.12,,
116,5/21/2024 20:23,21.55,-10.15,,
117,5/21/2024 20:28,21.99,-10.01,,
118,5/21/2024 20:33,23.03,-9.79,,
119,5/21/2024 20:38,22.51,-10.57,,
120,5/21/2024 20:43,22.26,-10.91,,
121,5/21/2024 20:48,22.29,-11.07,,
122,5/21/2024 20:53,22.64,-11.03,,
123,5/21/2024 20:58,22.57,-11.12,,
124,5/21/2024 21:03,22.97,-10.94,,
125,5/21/2024 21:08,23.8,-10.92,,
126,5/21/2024 21:13,24.35,-10.93,,
127,5/21/2024 21:18,24.48,-11.16,,
128,5/21/2024 21:23,24.99,-11.11,,
129,5/21/2024 21:28,25.31,-11.27,,
130,5/21/2024 21:33,26.02,-11.2,,
131,5/21/2024 21:38,26.63,-11.16,,
132,5/21/2024 21:43,26.98,-11.31,,
133,5/21/2024 21:48,27.21,-11.36,,
134,5/21/2024 21:53,27.43,-11.33,,
135,5/21/2024 21:58,27.54,-11.38,,
136,5/21/2024 22:03,27.65,-11.29,,
137,5/21/2024 22:08,28.26,-11.23,,
138,5/21/2024 22:13,28.82,-11.31,,
139,5/21/2024 22:18,28.64,-11.43,,
140,5/21/2024 22:23,28.42,-11.31,,
141,5/21/2024 22:28,28.34,-11.33,,
142,5/21/2024 22:33,27.5,-11.39,,
143,5/21/2024 22:38,26.55,-11.39,,
144,5/21/2024 22:43,26.37,-11.33,,
145,5/21/2024 22:48,26.14,-11.38,,
146,5/21/2024 22:53,25.98,-11.31,,
147,5/21/2024 22:58,26.03,-11.28,,
148,5/21/2024 23:03,26.33,-11.37,,
149,5/21/2024 23:08,26.69,-11.49,,
150,5/21/2024 23:13,28.29,-11.35,,
151,5/21/2024 23:18,29.91,-11.56,,
152,5/21/2024 23:23,31.71,-11.63,,
153,5/21/2024 23:28,32.96,-11.73,,
154,5/21/2024 23:33,33.45,-11.84,,
155,5/21/2024 23:38,33.74,-11.9,,
156,5/21/2024 23:43,33.82,-11.91,,
157,5/21/2024 23:48,34.08,-11.78,,
158,5/21/2024 23:53,34.51,-11.8,,
159,5/21/2024 23:58,35.05,-11.9,,
160,5/22/2024 0:03,35.86,-11.95,,
161,5/22/2024 0:08,36.48,-11.96,,
162,5/22/2024 0:13,36.38,-12.02,,
163,5/22/2024 0:18,35.83,-12.3,,
164,5/22/2024 0:23,37.11,-12.42,,
165,5/22/2024 0:28,38.81,-12.39,,
166,5/22/2024 0:33,39.83,-12.38,,
167,5/22/2024 0:38,41.01,-12.27,,
168,5/22/2024 0:43,41.58,-12.18,,
169,5/22/2024 0:48,41.78,-12.31,,
170,5/22/2024 0:53,42.4,-12.35,,
171,5/22/2024 0:58,42.61,-12.35,,
172,5/22/2024 1:03,42.73,-12.4,,
173,5/22/2024 1:08,43.33,-12.44,,
174,5/22/2024 1:13,43.75,-12.55,,
175,5/22/2024 1:18,43.9,-12.71,,
176,5/22/2024 1:23,44.46,-12.67,,
177,5/22/2024 1:28,44.59,-12.56,,
178,5/22/2024 1:33,44.19,-12.52,,
179,5/22/2024 1:38,43.91,-12.48,,
180,5/22/2024 1:43,43.84,-12.46,,
181,5/22/2024 1:48,43.69,-12.45,,
182,5/22/2024 1:53,43.85,-12.42,,
183,5/22/2024 1:58,44.09,-12.41,,
184,5/22/2024 2:03,44.02,-12.49,,
185,5/22/2024 2:08,43.98,-12.57,,
186,5/22/2024 2:13,44.17,-12.57,,
187,5/22/2024 2:18,44.19,-12.58,,
188,5/22/2024 2:23,44.1,-12.53,,
189,5/22/2024 2:28,43.98,-12.39,,
190,5/22/2024 2:33,43.76,-12.24,,
191,5/22/2024 2:38,43.49,-12.13,,
192,5/22/2024 2:43,43.49,-12.07,,
193,5/22/2024 2:48,43.48,-11.97,,
194,5/22/2024 2:53,43.33,-11.92,,
195,5/22/2024 2:58,43.17,-11.99,,
196,5/22/2024 3:03,43.16,-12.03,,
197,5/22/2024 3:08,43.15,-11.98,,
198,5/22/2024 3:13,42.95,-11.99,,
199,5/22/2024 3:18,43.08,-12,,
200,5/22/2024 3:23,43.26,-12.02,,
201,5/22/2024 3:28,43.23,-12.06,,
202,5/22/2024 3:33,42.78,-12.11,,
203,5/22/2024 3:38,42.61,-12.18,,
204,5/22/2024 3:43,42.78,-12.15,,
205,5/22/2024 3:48,42.73,-12.1,,
206,5/22/2024 3:53,42.53,-12.06,,
207,5/22/2024 3:58,42.45,-12.09,,
208,5/22/2024 4:03,42.79,-12.07,,
209,5/22/2024 4:08,43,-12.1,,
210,5/22/2024 4:13,43.37,-12.09,,
211,5/22/2024 4:18,43.71,-12.02,,
212,5/22/2024 4:23,43.98,-11.95,,
213,5/22/2024 4:28,43.84,-11.96,,
214,5/22/2024 4:33,43.92,-11.91,,
215,5/22/2024 4:38,43.85,-11.8,,
216,5/22/2024 4:43,43.52,-11.72,,
217,5/22/2024 4:48,43.14,-11.79,,
218,5/22/2024 4:53,43.72,-11.76,,
219,5/22/2024 4:58,43.82,-11.7,,
220,5/22/2024 5:03,44,-11.63,,
221,5/22/2024 5:08,44.21,-11.66,,
222,5/22/2024 5:13,44.65,-11.68,,
223,5/22/2024 5:18,45.38,-11.65,,
224,5/22/2024 5:23,45.99,-11.65,,
225,5/22/2024 5:28,46.66,-11.66,,
226,5/22/2024 5:33,46.75,-11.7,,
227,5/22/2024 5:38,47.16,-11.75,,
228,5/22/2024 5:43,47.97,-11.65,,
229,5/22/2024 5:48,48.43,-11.59,,
230,5/22/2024 5:53,48.74,-11.59,,
231,5/22/2024 5:58,49.16,-11.5,,
232,5/22/2024 6:03,49.4,-11.48,,
233,5/22/2024 6:08,50.3,-11.25,,
234,5/22/2024 6:13,50.3,-11.01,,
235,5/22/2024 6:18,49.91,-10.71,,
236,5/22/2024 6:23,49.38,-10.43,,
237,5/22/2024 6:28,48.84,-10.02,,
238,5/22/2024 6:33,46.71,-9.88,,
239,5/22/2024 6:38,44.88,-9.72,,
240,5/22/2024 6:43,43.78,-9.37,,
241,5/22/2024 6:48,42.89,-8.93,,
242,5/22/2024 6:53,41.06,-8.68,,
243,5/22/2024 6:58,39.87,-8.29,,
244,5/22/2024 7:03,38.09,-8.1,,
245,5/22/2024 7:08,36.22,-8.03,,
246,5/22/2024 7:13,34.92,-7.95,,
247,5/22/2024 7:18,33.84,-7.86,,
248,5/22/2024 7:23,33.8,-7.4,,
249,5/22/2024 7:28,33.47,-7.08,,
250,5/22/2024 7:33,32.78,-6.9,,
251,5/22/2024 7:38,31.18,-7.12,,
252,5/22/2024 7:43,31.25,-6.76,,
253,5/22/2024 7:48,29.21,-7.33,,
254,5/22/2024 7:53,29.05,-7.19,,
255,5/22/2024 7:58,30.03,-6.45,,
256,5/22/2024 8:03,30.24,-5.96,,
257,5/22/2024 8:08,30.63,-5.59,,
258,5/22/2024 8:13,31.38,-5.04,,
259,5/22/2024 8:18,30.74,-5.05,,
260,5/22/2024 8:23,30.38,-4.91,,
261,5/22/2024 8:28,29.9,-4.8,,
262,5/22/2024 8:33,29.76,-4.69,,
263,5/22/2024 8:38,29.47,-4.71,,
264,5/22/2024 8:43,29.78,-4.32,,
265,5/22/2024 8:48,29.82,-4.15,,
266,5/22/2024 8:53,29.04,-4.29,,
267,5/22/2024 8:58,28.97,-4.15,,
268,5/22/2024 9:03,29.15,-4.13,,
269,5/22/2024 9:08,28.09,-4.29,,
270,5/22/2024 9:13,27.84,-4.17,,
271,5/22/2024 9:18,28.54,-3.87,,
272,5/22/2024 9:23,28.22,-3.88,,
273,5/22/2024 9:28,26.5,-4.53,,
274,5/22/2024 9:33,23.98,-5.81,,
275,5/22/2024 9:38,21.73,-6.76,,
276,5/22/2024 9:43,22.16,-6.25,,
277,5/22/2024 9:48,22.58,-6.05,,
278,5/22/2024 9:53,22.11,-6.18,,
279,5/22/2024 9:58,21.5,-6.25,,
280,5/22/2024 10:03,17.99,-8.18,,
281,5/22/2024 10:08,19.43,-6.88,,
282,5/22/2024 10:13,18.79,-7.27,,
283,5/22/2024 10:18,18.95,-7.01,,
284,5/22/2024 10:23,18.36,-7.3,,
285,5/22/2024 10:28,18.89,-6.95,,
286,5/22/2024 10:33,18.73,-7.13,,
287,5/22/2024 10:38,17.91,-7.37,,
288,5/22/2024 10:43,17.21,-7.68,,
289,5/22/2024 10:48,16.84,-7.85,,
290,5/22/2024 10:53,16.7,-7.76,,
291,5/22/2024 10:58,17.36,-7.25,,
292,5/22/2024 11:03,15.52,-8.35,,
293,5/22/2024 11:08,15.49,-8.18,,
294,5/22/2024 11:13,16.89,-6.95,,
295,5/22/2024 11:18,15.38,-7.95,,
296,5/22/2024 11:23,16.46,-7.09,,
297,5/22/2024 11:28,16.36,-7.41,,
298,5/22/2024 11:33,16.9,-6.71,,
299,5/22/2024 11:38,16.73,-6.5,,
300,5/22/2024 11:43,15.94,-6.86,,
301,5/22/2024 11:48,15.68,-7.05,,
302,5/22/2024 11:53,16.03,-6.97,,
303,5/22/2024 11:58,15.91,-7.01,,
304,5/22/2024 12:03,15.93,-7.18,,
305,5/22/2024 12:08,15.96,-6.97,,
306,5/22/2024 12:13,15.76,-7.08,,
307,5/22/2024 12:18,15.82,-6.79,,
308,5/22/2024 12:22,,,Logged,
309,5/22/2024 12:23,14.97,-7.17,,
310,5/22/2024 12:28,15.19,-6.88,,
311,5/22/2024 12:33,15.73,-6.52,,
312,5/22/2024 12:38,15.3,-6.59,,
313,5/22/2024 12:43,14.64,-7.17,,
314,5/22/2024 12:48,15.08,-6.84,,
315,5/22/2024 12:53,14.43,-7.23,,
316,5/22/2024 12:58,14.43,-7.19,,
317,5/22/2024 13:03,14.48,-7.23,,
318,5/22/2024 13:08,14.91,-6.73,,
319,5/22/2024 13:13,14.44,-7.02,,
320,5/22/2024 13:18,13.96,-7.25,,
321,5/22/2024 13:23,13.49,-7.64,,
322,5/22/2024 13:28,13.72,-7.41,,
323,5/22/2024 13:33,14.26,-7.05,,
324,5/22/2024 13:38,14.09,-7.37,,
325,5/22/2024 13:43,13.65,-7.74,,
326,5/22/2024 13:48,14.71,-6.68,,
327,5/22/2024 13:53,14.9,-6.56,,
328,5/22/2024 13:58,14.37,-7.02,,
329,5/22/2024 14:03,14.32,-7.09,,
330,5/22/2024 14:08,14.61,-6.62,,
331,5/22/2024 14:13,14.07,-6.6,,
332,5/22/2024 14:18,13.63,-7.08,,
333,5/22/2024 14:23,14.68,-6.58,,
334,5/22/2024 14:28,14.44,-6.78,,
335,5/22/2024 14:33,14.61,-6.66,,
336,5/22/2024 14:38,15.13,-6.05,,
337,5/22/2024 14:43,14.15,-6.63,,
338,5/22/2024 14:48,14.71,-6.38,,
339,5/22/2024 14:53,14.28,-6.74,,
340,5/22/2024 14:58,13.98,-7.07,,
341,5/22/2024 15:03,14.38,-6.85,,
342,5/22/2024 15:08,14.72,-6.76,,
343,5/22/2024 15:13,14.68,-7.07,,
344,5/22/2024 15:18,15.45,-6.36,,
345,5/22/2024 15:23,14.81,-6.83,,
346,5/22/2024 15:28,15.57,-6.52,,
347,5/22/2024 15:33,15.72,-6.4,,
348,5/22/2024 15:38,16.49,-5.79,,
349,5/22/2024 15:43,15.71,-6.18,,
350,5/22/2024 15:48,15.92,-6.27,,
351,5/22/2024 15:53,15,-6.87,,
352,5/22/2024 15:58,15.57,-6.38,,
353,5/22/2024 16:03,15.21,-6.62,,
354,5/22/2024 16:08,15.65,-6.34,,
355,5/22/2024 16:13,15.55,-6.6,,
356,5/22/2024 16:18,17.07,-5.42,,
357,5/22/2024 16:23,16.52,-5.84,,
358,5/22/2024 16:28,16.34,-6.07,,
359,5/22/2024 16:33,16.14,-6.31,,
360,5/22/2024 16:38,16.3,-6.28,,
361,5/22/2024 16:43,17.01,-5.78,,
362,5/22/2024 16:48,16.83,-5.98,,
363,5/22/2024 16:53,17.89,-5.19,,
364,5/22/2024 16:58,17.2,-5.72,,
365,5/22/2024 17:03,17.33,-5.82,,
366,5/22/2024 17:08,18.09,-5.14,,
367,5/22/2024 17:13,17.51,-5.41,,
368,5/22/2024 17:18,17.96,-5.46,,
369,5/22/2024 17:23,18.47,-5.33,,
370,5/22/2024 17:28,18.56,-5.52,,
371,5/22/2024 17:33,19.8,-4.7,,
372,5/22/2024 17:38,19.55,-4.85,,
373,5/22/2024 17:43,19.85,-4.87,,
374,5/22/2024 17:48,20.16,-4.83,,
375,5/22/2024 17:53,20.42,-4.77,,
376,5/22/2024 17:58,21.08,-4.31,,
377,5/22/2024 18:03,21.19,-4.38,,
378,5/22/2024 18:08,21.21,-4.34,,
379,5/22/2024 18:13,21.98,-3.94,,
380,5/22/2024 18:18,21.47,-4.32,,
381,5/22/2024 18:23,22.29,-4.01,,
382,5/22/2024 18:28,22.6,-3.75,,
383,5/22/2024 18:33,22.23,-3.98,,
384,5/22/2024 18:38,22.3,-4.02,,
385,5/22/2024 18:43,22.47,-4.04,,
386,5/22/2024 18:48,22.86,-4.04,,
387,5/22/2024 18:53,23.38,-3.87,,
388,5/22/2024 18:58,23.19,-4.09,,
389,5/22/2024 19:03,23.38,-4.2,,
390,5/22/2024 19:08,23.81,-4.07,,
391,5/22/2024 19:13,22.98,-4.64,,
392,5/22/2024 19:18,23.92,-4.3,,
393,5/22/2024 19:23,24.07,-4.38,,
394,5/22/2024 19:28,24.56,-4.31,,
395,5/22/2024 19:33,24.77,-4.36,,
396,5/22/2024 19:38,24.68,-4.59,,
397,5/22/2024 19:43,24.79,-4.73,,
398,5/22/2024 19:48,25.3,-4.66,,
399,5/22/2024 19:53,25.66,-4.7,,
400,5/22/2024 19:58,25.69,-4.91,,
401,5/22/2024 20:03,26.5,-4.78,,
402,5/22/2024 20:08,27.09,-4.77,,
403,5/22/2024 20:13,27.7,-4.76,,
404,5/22/2024 20:18,28.47,-4.74,,
405,5/22/2024 20:23,29.22,-4.65,,
406,5/22/2024 20:28,29.73,-4.48,,
407,5/22/2024 20:33,29.82,-4.57,,
408,5/22/2024 20:38,30.31,-4.51,,
409,5/22/2024 20:43,30.57,-4.62,,
410,5/22/2024 20:48,31.1,-4.7,,
411,5/22/2024 20:53,31.82,-4.67,,
412,5/22/2024 20:58,32.19,-4.7,,
413,5/22/2024 21:03,32.8,-4.76,,
414,5/22/2024 21:08,33.42,-4.83,,
415,5/22/2024 21:13,33.83,-4.81,,
416,5/22/2024 21:18,33.95,-4.77,,
417,5/22/2024 21:23,33.07,-4.77,,
418,5/22/2024 21:28,31.36,-5.02,,
419,5/22/2024 21:33,30.89,-5.11,,
420,5/22/2024 21:38,30.39,-5.45,,
421,5/22/2024 21:43,29.79,-5.64,,
422,5/22/2024 21:48,29.2,-5.7,,
423,5/22/2024 21:53,29.12,-5.72,,
424,5/22/2024 21:58,29.19,-5.86,,
425,5/22/2024 22:03,29.11,-5.97,,
426,5/22/2024 22:08,29.44,-5.89,,
427,5/22/2024 22:13,28.72,-6.33,,
428,5/22/2024 22:18,28.79,-6.01,,
429,5/22/2024 22:23,28.72,-6.11,,
430,5/22/2024 22:28,29.21,-6.04,,
431,5/22/2024 22:33,29.95,-5.78,,
432,5/22/2024 22:38,30.53,-5.57,,
433,5/22/2024 22:43,30.56,-5.83,,
434,5/22/2024 22:48,30.97,-6.15,,
435,5/22/2024 22:53,32.05,-6.02,,
436,5/22/2024 22:58,32.43,-6.05,,
437,5/22/2024 23:03,32.53,-6.05,,
438,5/22/2024 23:08,32.66,-6.2,,
439,5/22/2024 23:13,32.34,-6.25,,
440,5/22/2024 23:18,32.44,-6.18,,
441,5/22/2024 23:23,32.49,-6.19,,
442,5/22/2024 23:28,32.62,-6.29,,
443,5/22/2024 23:33,33.48,-6.38,,
444,5/22/2024 23:38,34.4,-6.51,,
445,5/22/2024 23:43,34.28,-6.93,,
446,5/22/2024 23:48,34.59,-6.91,,
447,5/22/2024 23:53,34.66,-7.08,,
448,5/22/2024 23:58,35.33,-7.1,,
449,5/23/2024 0:03,37.87,-7.3,,
450,5/23/2024 0:08,40.09,-7.27,,
451,5/23/2024 0:13,40.75,-7.24,,
452,5/23/2024 0:18,40.61,-7.23,,
453,5/23/2024 0:23,40.36,-7.15,,
454,5/23/2024 0:28,40.58,-7.19,,
455,5/23/2024 0:33,41.56,-7.13,,
456,5/23/2024 0:38,42.02,-7.24,,
457,5/23/2024 0:43,42.44,-7.23,,
458,5/23/2024 0:48,42.35,-7.23,,
459,5/23/2024 0:53,42.09,-7.63,,
460,5/23/2024 0:58,43.28,-7.91,,
461,5/23/2024 1:03,46.21,-7.71,,
462,5/23/2024 1:08,47.24,-7.53,,
463,5/23/2024 1:13,46.53,-7.51,,
464,5/23/2024 1:18,45.73,-7.71,,
465,5/23/2024 1:23,45.71,-7.91,,
466,5/23/2024 1:28,45.27,-8.1,,
467,5/23/2024 1:33,44.45,-8.15,,
468,5/23/2024 1:38,44.02,-8.14,,
469,5/23/2024 1:43,44,-8.35,,
470,5/23/2024 1:48,44.1,-8.56,,
471,5/23/2024 1:53,45.01,-8.43,,
472,5/23/2024 1:58,45.81,-8.24,,
473,5/23/2024 2:03,45.29,-8.47,,
474,5/23/2024 2:08,46.22,-8.55,,
475,5/23/2024 2:13,47.68,-8.34,,
476,5/23/2024 2:18,47.9,-8.48,,
477,5/23/2024 2:23,49.55,-8.28,,
478,5/23/2024 2:28,51.22,-7.91,,
479,5/23/2024 2:33,52.79,-7.45,,
480,5/23/2024 2:38,52.61,-6.87,,
481,5/23/2024 2:43,50.88,-6.93,,
482,5/23/2024 2:48,50.98,-6.8,,
483,5/23/2024 2:53,50.65,-6.82,,
484,5/23/2024 2:58,50.33,-6.7,,
485,5/23/2024 3:03,50.59,-6.59,,
486,5/23/2024 3:08,52.45,-6.22,,
487,5/23/2024 3:13,51.15,-6.16,,
488,5/23/2024 3:18,49.96,-6.43,,
489,5/23/2024 3:23,51.36,-6.39,,
490,5/23/2024 3:28,53.09,-5.94,,
491,5/23/2024 3:33,52.26,-5.38,,
492,5/23/2024 3:38,49.82,-5.46,,
493,5/23/2024 3:43,49.21,-5.56,,
494,5/23/2024 3:48,48.76,-5.71,,
495,5/23/2024 3:53,49.51,-5.58,,
496,5/23/2024 3:58,49.44,-5.75,,
497,5/23/2024 4:03,50.62,-5.49,,
498,5/23/2024 4:08,49.84,-5.59,,
499,5/23/2024 4:13,48.29,-5.79,,
500,5/23/2024 4:18,47.63,-6.02,,
501,5/23/2024 4:23,47.56,-6.29,,
502,5/23/2024 4:28,47.11,-6.6,,
503,5/23/2024 4:33,46.78,-6.94,,
504,5/23/2024 4:38,46.26,-7.12,,
505,5/23/2024 4:43,45.18,-7.42,,
506,5/23/2024 4:48,44.35,-7.59,,
507,5/23/2024 4:53,44.06,-7.75,,
508,5/23/2024 4:58,43.26,-8.11,,
509,5/23/2024 5:03,42.25,-8.36,,
510,5/23/2024 5:08,41.56,-8.56,,
511,5/23/2024 5:13,40.41,-8.76,,
512,5/23/2024 5:18,39.28,-8.82,,
513,5/23/2024 5:23,38.16,-8.79,,
514,5/23/2024 5:28,37.43,-8.79,,
515,5/23/2024 5:33,37.42,-8.82,,
516,5/23/2024 5:38,38.8,-8.57,,
517,5/23/2024 5:43,40.73,-8.07,,
518,5/23/2024 5:48,40.65,-8.19,,
519,5/23/2024 5:53,40.97,-8.14,,
520,5/23/2024 5:58,40.47,-8.4,,
521,5/23/2024 6:03,39.75,-8.76,,
522,5/23/2024 6:08,38.97,-8.78,,
523,5/23/2024 6:13,38.77,-8.62,,
524,5/23/2024 6:18,38.42,-8.63,,
525,5/23/2024 6:23,37.63,-8.71,,
526,5/23/2024 6:28,36.38,-8.9,,
527,5/23/2024 6:33,35.12,-9.17,,
528,5/23/2024 6:38,34.24,-9.37,,
529,5/23/2024 6:43,33.63,-9.45,,
530,5/23/2024 6:48,32.16,-9.81,,
531,5/23/2024 6:53,32.28,-9.59,,
532,5/23/2024 6:58,31.98,-9.46,,
533,5/23/2024 7:03,31.11,-9.68,,
534,5/23/2024 7:08,30.51,-9.82,,
535,5/23/2024 7:13,30.68,-9.67,,
536,5/23/2024 7:18,29.84,-9.87,,
537,5/23/2024 7:23,30.29,-9.56,,
538,5/23/2024 7:28,30.37,-9.36,,
539,5/23/2024 7:33,29.65,-9.47,,
540,5/23/2024 7:38,29.68,-9.34,,
541,5/23/2024 7:43,28.77,-9.58,,
542,5/23/2024 7:48,29.15,-9.28,,
543,5/23/2024 7:53,28.97,-9.02,,
544,5/23/2024 7:58,29.46,-8.76,,
545,5/23/2024 8:03,29.33,-8.72,,
546,5/23/2024 8:08,28.19,-8.93,,
547,5/23/2024 8:13,28.17,-8.8,,
548,5/23/2024 8:18,28.22,-8.61,,
549,5/23/2024 8:23,28.09,-8.61,,
550,5/23/2024 8:28,28.21,-8.43,,
551,5/23/2024 8:33,28.3,-8.21,,
552,5/23/2024 8:38,27.84,-8.29,,
553,5/23/2024 8:43,27.74,-8.25,,
554,5/23/2024 8:48,28.13,-7.99,,
555,5/23/2024 8:53,28.37,-7.71,,
556,5/23/2024 8:58,28.66,-7.25,,
557,5/23/2024 9:03,28.71,-6.95,,
558,5/23/2024 9:08,27.55,-7.35,,
559,5/23/2024 9:13,27.98,-7.16,,
560,5/23/2024 9:18,27.91,-7.05,,
561,5/23/2024 9:23,27.34,-7.22,,
562,5/23/2024 9:28,27.31,-7.07,,
563,5/23/2024 9:33,27.41,-6.87,,
564,5/23/2024 9:38,27.04,-6.9,,
565,5/23/2024 9:43,26.66,-6.96,,
566,5/23/2024 9:48,27.83,-6.38,,
567,5/23/2024 9:53,27.3,-6.63,,
568,5/23/2024 9:58,27.23,-6.36,,
569,5/23/2024 10:03,28.02,-5.91,,
570,5/23/2024 10:08,27.89,-5.79,,
571,5/23/2024 10:13,28.12,-5.54,,
572,5/23/2024 10:18,27.27,-5.77,,
573,5/23/2024 10:23,26.7,-5.9,,
574,5/23/2024 10:28,26.66,-5.73,,
575,5/23/2024 10:33,26.62,-5.78,,
576,5/23/2024 10:38,26.5,-5.98,,
577,5/23/2024 10:43,26.66,-5.75,,
578,5/23/2024 10:48,26.3,-5.76,,
579,5/23/2024 10:53,26.13,-5.67,,
580,5/23/2024 10:58,26.17,-5.49,,
