"Date","Snow Surface Temperature (deg. F)","Mean Snow Pack Temperature (deg. F)","6-ft Air Temperature Forcing (deg. F)","Observed Air Temperature (deg. F)","Observed Dew Point Temperature (deg. F)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-19 04:00:00",,,66.47,67.98,41.22,"2023-08-19","04","n"
"2023-08-19 05:00:00",,,63.59,65.35,38.34,"2023-08-19","05","n"
"2023-08-19 06:00:00",,,60.89,61.52,39.24,"2023-08-19","06","n"
"2023-08-19 07:00:00",,,58.73,59.38,37.80,"2023-08-19","07","n"
"2023-08-19 08:00:00",,,55.31,55.69,39.87,"2023-08-19","08","n"
"2023-08-19 09:00:00",,,54.77,55.90,40.08,"2023-08-19","09","n"
"2023-08-19 10:00:00",,,51.35,52.41,39.31,"2023-08-19","10","n"
"2023-08-19 11:00:00",,,49.01,50.31,38.66,"2023-08-19","11","n"
"2023-08-19 12:00:00",,,47.93,48.74,38.55,"2023-08-19","12","n"
"2023-08-19 13:00:00",,,46.13,47.12,38.01,"2023-08-19","13","n"
"2023-08-19 14:00:00",,,46.67,45.61,38.08,"2023-08-19","14","n"
"2023-08-19 15:00:00",,,56.21,,40.21,"2023-08-19","15","n"
"2023-08-19 16:00:00",,,59.81,59.23,42.73,"2023-08-19","16","n"
"2023-08-19 17:00:00",,,64.49,64.99,41.77,"2023-08-19","17","n"
"2023-08-19 18:00:00",,,68.81,68.38,36.63,"2023-08-19","18","n"
"2023-08-19 19:00:00",,,72.77,73.36,33.71,"2023-08-19","19","n"
"2023-08-19 20:00:00",,,74.03,74.03,32.72,"2023-08-19","20","n"
"2023-08-19 21:00:00",,,73.31,74.26,33.12,"2023-08-19","21","n"
"2023-08-19 22:00:00",,,72.95,72.99,36.81,"2023-08-19","22","n"
"2023-08-19 23:00:00",,,72.95,72.54,36.66,"2023-08-19","23","n"
"2023-08-20 00:00:00",,,70.61,70.14,39.76,"2023-08-20","00","n"
"2023-08-20 01:00:00",,,67.73,68.32,37.35,"2023-08-20","01","n"
"2023-08-20 02:00:00",,,65.57,66.69,38.46,"2023-08-20","02","n"
"2023-08-20 03:00:00",,,63.95,64.36,42.78,"2023-08-20","03","n"
"2023-08-20 04:00:00",,,61.07,61.29,45.48,"2023-08-20","04","n"
"2023-08-20 05:00:00",,,61.07,60.35,43.61,"2023-08-20","05","n"
"2023-08-20 06:00:00",,,59.99,60.96,41.14,"2023-08-20","06","n"
"2023-08-20 07:00:00",,,56.21,56.55,46.78,"2023-08-20","07","n"
"2023-08-20 08:00:00",,,53.87,53.19,48.99,"2023-08-20","08","n"
"2023-08-20 09:00:00",,,52.61,51.96,48.90,"2023-08-20","09","n"
"2023-08-20 10:00:00",,,52.25,51.53,49.23,"2023-08-20","10","n"
"2023-08-20 11:00:00",,,51.53,51.15,49.17,"2023-08-20","11","n"
"2023-08-20 12:00:00",,,51.17,50.67,49.15,"2023-08-20","12","n"
"2023-08-20 13:00:00",,,50.09,49.42,48.16,"2023-08-20","13","n"
"2023-08-20 14:00:00",,,49.73,49.03,47.55,"2023-08-20","14","n"
"2023-08-20 15:00:00",,,50.45,49.39,45.07,"2023-08-20","15","n"
"2023-08-20 16:00:00",,,52.79,51.67,45.86,"2023-08-20","16","n"
"2023-08-20 17:00:00",,,54.59,54.01,46.13,"2023-08-20","17","n"
"2023-08-20 18:00:00",,,56.75,56.64,45.86,"2023-08-20","18","n"
"2023-08-20 19:00:00",,,57.83,57.43,46.78,"2023-08-20","19","n"
"2023-08-20 20:00:00",,,57.11,56.64,47.79,"2023-08-20","20","n"
"2023-08-20 21:00:00",,,55.67,55.78,48.43,"2023-08-20","21","n"
"2023-08-20 22:00:00",,,55.13,55.26,48.92,"2023-08-20","22","n"
"2023-08-20 23:00:00",,,55.85,55.67,47.84,"2023-08-20","23","n"
"2023-08-21 00:00:00",,,56.03,55.65,47.44,"2023-08-21","00","n"
"2023-08-21 01:00:00",,,54.41,53.62,45.48,"2023-08-21","01","n"
"2023-08-21 02:00:00",,,52.97,52.65,45.41,"2023-08-21","02","n"
"2023-08-21 03:00:00",,,52.61,52.18,45.03,"2023-08-21","03","n"
"2023-08-21 04:00:00",,,51.71,51.49,44.94,"2023-08-21","04","n"
"2023-08-21 05:00:00",,,50.99,50.56,44.04,"2023-08-21","05","n"
"2023-08-21 06:00:00",,,50.81,50.43,43.88,"2023-08-21","06","n"
"2023-08-21 07:00:00",,,50.99,50.83,44.01,"2023-08-21","07","n"
"2023-08-21 08:00:00",,,51.35,50.83,43.05,"2023-08-21","08","n"
"2023-08-21 09:00:00",,,51.35,50.83,43.45,"2023-08-21","09","n"
"2023-08-21 10:00:00",,,52.07,51.62,45.75,"2023-08-21","10","n"
"2023-08-21 11:00:00",,,51.35,50.92,47.79,"2023-08-21","11","n"
"2023-08-21 12:00:00",,,50.99,50.65,50.52,"2023-08-21","12","n"
"2023-08-21 13:00:00",,,50.99,50.27,50.27,"2023-08-21","13","n"
"2023-08-21 14:00:00",,,52.07,51.60,,"2023-08-21","14","n"
"2023-08-21 15:00:00",,,54.41,53.74,,"2023-08-21","15","n"
"2023-08-21 16:00:00",,,56.03,54.97,,"2023-08-21","16","n"
"2023-08-21 17:00:00",,,58.91,57.47,46.72,"2023-08-21","17","n"
"2023-08-21 18:00:00",,,61.25,60.22,51.76,"2023-08-21","18","n"
"2023-08-21 19:00:00",,,64.31,62.74,37.67,"2023-08-21","19","n"
"2023-08-21 20:00:00",,,66.47,64.92,40.66,"2023-08-21","20","n"
"2023-08-21 21:00:00",,,67.01,65.55,44.64,"2023-08-21","21","n"
"2023-08-21 22:00:00",,,67.37,65.57,47.10,"2023-08-21","22","n"
"2023-08-21 23:00:00",,,67.37,66.34,45.90,"2023-08-21","23","n"
"2023-08-22 00:00:00",,,67.91,67.03,43.77,"2023-08-22","00","n"
"2023-08-22 01:00:00",,,66.65,66.29,42.94,"2023-08-22","01","n"
"2023-08-22 02:00:00",,,64.67,64.67,44.80,"2023-08-22","02","n"
"2023-08-22 03:00:00",,,62.33,62.29,46.63,"2023-08-22","03","n"
"2023-08-22 04:00:00",,,59.27,58.78,45.82,"2023-08-22","04","n"
"2023-08-22 05:00:00",,,56.75,55.36,45.64,"2023-08-22","05","n"
"2023-08-22 06:00:00",,,56.03,55.29,50.67,"2023-08-22","06","n"
"2023-08-22 07:00:00",,,54.23,53.76,44.60,"2023-08-22","07","n"
"2023-08-22 08:00:00",,,54.23,53.40,52.57,"2023-08-22","08","n"
"2023-08-22 09:00:00",,,53.15,52.45,51.17,"2023-08-22","09","n"
"2023-08-22 10:00:00",,,53.69,54.05,51.33,"2023-08-22","10","n"
"2023-08-22 11:00:00",,,51.35,50.94,50.59,"2023-08-22","11","n"
"2023-08-22 12:00:00",,,50.09,49.60,44.49,"2023-08-22","12","n"
"2023-08-22 13:00:00",,,48.65,47.79,,"2023-08-22","13","n"
"2023-08-22 14:00:00",,,47.75,46.33,,"2023-08-22","14","n"
"2023-08-22 15:00:00",,,51.35,49.95,,"2023-08-22","15","n"
"2023-08-22 16:00:00",,,55.67,54.43,,"2023-08-22","16","n"
"2023-08-22 17:00:00",,,58.19,57.06,,"2023-08-22","17","n"
"2023-08-22 18:00:00",,,61.07,59.86,,"2023-08-22","18","n"
"2023-08-22 19:00:00",,,63.59,62.78,40.48,"2023-08-22","19","n"
"2023-08-22 20:00:00",,,65.57,64.58,42.35,"2023-08-22","20","n"
"2023-08-22 21:00:00",,,67.19,66.38,41.14,"2023-08-22","21","n"
"2023-08-22 22:00:00",,,67.73,67.33,39.61,"2023-08-22","22","n"
"2023-08-22 23:00:00",,,68.45,68.16,39.25,"2023-08-22","23","n"
"2023-08-23 00:00:00",,,68.27,68.00,38.34,"2023-08-23","00","n"
"2023-08-23 01:00:00",,,68.09,68.16,38.61,"2023-08-23","01","n"
"2023-08-23 02:00:00",,,65.93,65.98,45.45,"2023-08-23","02","n"
"2023-08-23 03:00:00",,,63.41,63.32,47.34,"2023-08-23","03","n"
"2023-08-23 04:00:00",,,60.71,61.05,47.26,"2023-08-23","04","n"
"2023-08-23 05:00:00",,,59.81,61.03,44.46,"2023-08-23","05","n"
"2023-08-23 06:00:00",,,56.75,57.99,43.21,"2023-08-23","06","n"
"2023-08-23 07:00:00",,,54.95,55.33,42.06,"2023-08-23","07","n"
"2023-08-23 08:00:00",,,52.43,52.32,40.14,"2023-08-23","08","n"
"2023-08-23 09:00:00",,,50.99,50.58,47.97,"2023-08-23","09","n"
"2023-08-23 10:00:00",,,49.19,,,"2023-08-23","10","n"
"2023-08-23 11:00:00",,,47.39,,,"2023-08-23","11","n"
"2023-08-23 12:00:00",,,46.49,,,"2023-08-23","12","n"
"2023-08-23 13:00:00",,,45.41,44.92,,"2023-08-23","13","n"
"2023-08-23 14:00:00",,,45.23,43.77,,"2023-08-23","14","n"
"2023-08-23 15:00:00",,,50.45,47.61,,"2023-08-23","15","n"
"2023-08-23 16:00:00",,,57.11,55.35,45.09,"2023-08-23","16","n"
"2023-08-23 17:00:00",,,63.23,,,"2023-08-23","17","n"
"2023-08-23 18:00:00",,,62.87,60.15,50.61,"2023-08-23","18","n"
"2023-08-23 19:00:00",,,66.83,64.53,41.94,"2023-08-23","19","n"
"2023-08-23 20:00:00",,,68.99,66.85,43.72,"2023-08-23","20","n"
"2023-08-23 21:00:00",,,77.09,70.74,37.40,"2023-08-23","21","n"
"2023-08-23 22:00:00",,,77.09,72.99,33.22,"2023-08-23","22","n"
"2023-08-23 23:00:00",,,78.35,74.30,29.86,"2023-08-23","23","n"
"2023-08-24 00:00:00",,,77.81,74.73,29.75,"2023-08-24","00","n"
"2023-08-24 01:00:00",,,72.41,74.59,30.65,"2023-08-24","01","n"
"2023-08-24 02:00:00",,,68.99,73.81,30.78,"2023-08-24","02","n"
"2023-08-24 03:00:00",,,65.39,70.77,33.71,"2023-08-24","03","n"
"2023-08-24 04:00:00",,,62.51,64.89,37.36,"2023-08-24","04","n"
"2023-08-24 05:00:00",,,59.81,60.91,37.96,"2023-08-24","05","n"
"2023-08-24 06:00:00",,,56.93,57.74,38.62,"2023-08-24","06","n"
"2023-08-24 07:00:00",,,54.95,55.53,39.16,"2023-08-24","07","n"
"2023-08-24 08:00:00",,,52.97,52.93,38.98,"2023-08-24","08","n"
"2023-08-24 09:00:00",,,50.99,50.54,37.87,"2023-08-24","09","n"
"2023-08-24 10:00:00",,,49.55,48.85,35.92,"2023-08-24","10","n"
"2023-08-24 11:00:00",,,48.29,47.17,34.43,"2023-08-24","11","n"
"2023-08-24 12:00:00",,,46.85,46.04,40.01,"2023-08-24","12","n"
"2023-08-24 13:00:00",,,49.55,,,"2023-08-24","13","n"
"2023-08-24 14:00:00",,,52.43,,,"2023-08-24","14","n"
"2023-08-24 15:00:00",,,55.13,49.68,49.62,"2023-08-24","15","n"
"2023-08-24 16:00:00",,,61.79,58.23,46.36,"2023-08-24","16","n"
"2023-08-24 17:00:00",,,68.63,60.85,41.22,"2023-08-24","17","n"
"2023-08-24 18:00:00",,,75.29,,41.27,"2023-08-24","18","n"
"2023-08-24 19:00:00",,,76.37,68.79,38.44,"2023-08-24","19","n"
"2023-08-24 20:00:00",,,77.27,71.94,39.16,"2023-08-24","20","n"
"2023-08-24 21:00:00",,,78.35,72.73,39.94,"2023-08-24","21","n"
"2023-08-24 22:00:00",,,77.45,70.20,44.10,"2023-08-24","22","n"
"2023-08-24 23:00:00",,,76.19,69.76,43.07,"2023-08-24","23","n"
"2023-08-25 00:00:00",,,74.75,69.62,46.04,"2023-08-25","00","n"
"2023-08-25 01:00:00",,,70.25,70.95,46.60,"2023-08-25","01","n"
"2023-08-25 02:00:00",,,65.57,70.79,46.67,"2023-08-25","02","n"
"2023-08-25 03:00:00",,,61.07,69.57,46.38,"2023-08-25","03","n"
"2023-08-25 04:00:00",,,58.91,67.64,47.59,"2023-08-25","04","n"
"2023-08-25 05:00:00",,,56.93,66.58,46.42,"2023-08-25","05","n"
"2023-08-25 06:00:00",,,54.77,66.00,46.08,"2023-08-25","06","n"
"2023-08-25 07:00:00",,,52.43,64.38,47.21,"2023-08-25","07","n"
"2023-08-25 08:00:00",,,50.27,62.85,46.58,"2023-08-25","08","n"
"2023-08-25 09:00:00",,,47.93,63.03,46.26,"2023-08-25","09","n"
"2023-08-25 10:00:00",,,46.85,56.14,42.78,"2023-08-25","10","n"
"2023-08-25 11:00:00",,,45.59,55.94,41.47,"2023-08-25","11","n"
"2023-08-25 12:00:00",,,44.51,54.61,40.42,"2023-08-25","12","n"
"2023-08-25 13:00:00",,,47.75,50.81,37.58,"2023-08-25","13","n"
"2023-08-25 14:00:00",,,51.17,51.71,40.42,"2023-08-25","14","n"
"2023-08-25 15:00:00",,,54.41,,41.43,"2023-08-25","15","n"
"2023-08-25 16:00:00",,,60.71,64.71,42.53,"2023-08-25","16","n"
"2023-08-25 17:00:00",,,66.83,68.36,43.56,"2023-08-25","17","n"
"2023-08-25 18:00:00",,,73.13,69.28,42.60,"2023-08-25","18","n"
"2023-08-25 19:00:00",,,74.75,71.82,41.11,"2023-08-25","19","n"
"2023-08-25 20:00:00",,,76.19,73.65,37.76,"2023-08-25","20","n"
"2023-08-25 21:00:00",,,77.81,75.29,34.77,"2023-08-25","21","n"
"2023-08-25 22:00:00",,,77.63,76.98,33.24,"2023-08-25","22","n"
"2023-08-25 23:00:00",,,77.09,77.58,34.09,"2023-08-25","23","n"
"2023-08-26 00:00:00",,,76.73,77.81,33.24,"2023-08-26","00","n"
"2023-08-26 01:00:00",,,72.59,77.56,34.86,"2023-08-26","01","n"
"2023-08-26 02:00:00",,,68.45,76.19,39.88,"2023-08-26","02","n"
"2023-08-26 03:00:00",,,64.31,72.37,44.53,"2023-08-26","03","n"
"2023-08-26 04:00:00",,,61.79,68.94,41.72,"2023-08-26","04","n"
"2023-08-26 05:00:00",,,59.09,68.45,37.74,"2023-08-26","05","n"
"2023-08-26 06:00:00",,,56.57,62.13,35.22,"2023-08-26","06","n"
"2023-08-26 07:00:00",,,54.05,55.87,33.78,"2023-08-26","07","n"
"2023-08-26 08:00:00",,,51.71,55.56,30.65,"2023-08-26","08","n"
"2023-08-26 09:00:00",,,49.19,53.60,28.67,"2023-08-26","09","n"
"2023-08-26 10:00:00",,,47.39,52.09,27.59,"2023-08-26","10","n"
"2023-08-26 11:00:00",,,45.59,50.16,28.54,"2023-08-26","11","n"
"2023-08-26 12:00:00",,,43.79,46.44,28.27,"2023-08-26","12","n"
"2023-08-26 13:00:00",,,47.03,45.48,29.68,"2023-08-26","13","n"
"2023-08-26 14:00:00",,,50.09,44.26,29.70,"2023-08-26","14","n"
"2023-08-26 15:00:00",,,53.33,48.99,30.36,"2023-08-26","15","n"
"2023-08-26 16:00:00",,,60.35,58.60,35.15,"2023-08-26","16","n"
"2023-08-26 17:00:00",,,67.37,62.87,38.89,"2023-08-26","17","n"
"2023-08-26 18:00:00",,,74.39,66.63,37.94,"2023-08-26","18","n"
"2023-08-26 19:00:00",,,76.19,70.92,29.80,"2023-08-26","19","n"
"2023-08-26 20:00:00",,,77.81,73.83,22.37,"2023-08-26","20","n"
"2023-08-26 21:00:00",,,79.61,75.94,19.13,"2023-08-26","21","n"
"2023-08-26 22:00:00",,,79.25,77.54,18.63,"2023-08-26","22","n"
"2023-08-26 23:00:00",,,79.43,78.80,19.29,"2023-08-26","23","n"
"2023-08-27 00:00:00",,,79.43,79.03,18.70,"2023-08-27","00","n"
"2023-08-27 01:00:00",,,74.57,78.51,17.80,"2023-08-27","01","n"
"2023-08-27 02:00:00",,,69.71,76.06,36.18,"2023-08-27","02","n"
"2023-08-27 03:00:00",,,64.85,72.77,42.33,"2023-08-27","03","n"
"2023-08-27 04:00:00",,,61.25,69.24,42.06,"2023-08-27","04","n"
"2023-08-27 05:00:00",,,57.83,65.61,41.94,"2023-08-27","05","n"
"2023-08-27 06:00:00",,,54.23,59.05,33.75,"2023-08-27","06","n"
"2023-08-27 07:00:00",,,52.97,55.09,35.11,"2023-08-27","07","n"
"2023-08-27 08:00:00",,,51.53,52.79,34.39,"2023-08-27","08","n"
"2023-08-27 09:00:00",,,50.27,50.65,33.62,"2023-08-27","09","n"
"2023-08-27 10:00:00",,,49.37,48.72,33.66,"2023-08-27","10","n"
"2023-08-27 11:00:00",,,48.29,46.99,33.48,"2023-08-27","11","n"
"2023-08-27 12:00:00",,,47.39,45.03,32.77,"2023-08-27","12","n"
"2023-08-27 13:00:00",,,50.27,44.83,32.22,"2023-08-27","13","n"
"2023-08-27 14:00:00",,,53.33,43.59,31.14,"2023-08-27","14","n"
"2023-08-27 15:00:00",,,56.21,,34.03,"2023-08-27","15","n"
"2023-08-27 16:00:00",,,62.51,57.85,39.92,"2023-08-27","16","n"
"2023-08-27 17:00:00",,,68.63,61.48,39.87,"2023-08-27","17","n"
"2023-08-27 18:00:00",,,74.93,,40.19,"2023-08-27","18","n"
"2023-08-27 19:00:00",,,77.09,,39.47,"2023-08-27","19","n"
"2023-08-27 20:00:00",,,79.25,74.46,32.61,"2023-08-27","20","n"
"2023-08-27 21:00:00",,,81.41,78.03,27.86,"2023-08-27","21","n"
"2023-08-27 22:00:00",,,81.41,81.09,19.83,"2023-08-27","22","n"
"2023-08-27 23:00:00",,,81.59,81.91,17.56,"2023-08-27","23","n"
"2023-08-28 00:00:00",,,81.59,82.65,22.10,"2023-08-28","00","n"
"2023-08-28 01:00:00",,,77.09,83.03,20.68,"2023-08-28","01","n"
"2023-08-28 02:00:00",,,72.59,82.11,22.93,"2023-08-28","02","n"
"2023-08-28 03:00:00",,,68.09,77.04,26.01,"2023-08-28","03","n"
"2023-08-28 04:00:00",,,65.39,67.80,28.47,"2023-08-28","04","n"
"2023-08-28 05:00:00",,,62.51,63.66,28.56,"2023-08-28","05","n"
"2023-08-28 06:00:00",,,59.81,61.66,27.82,"2023-08-28","06","n"
"2023-08-28 07:00:00",,,57.11,58.06,28.67,"2023-08-28","07","n"
"2023-08-28 08:00:00",,,54.59,55.40,28.51,"2023-08-28","08","n"
"2023-08-28 09:00:00",,,51.89,53.76,29.23,"2023-08-28","09","n"
"2023-08-28 10:00:00",,,50.99,49.08,29.17,"2023-08-28","10","n"
"2023-08-28 11:00:00",,,50.27,47.84,29.21,"2023-08-28","11","n"
"2023-08-28 12:00:00",,,49.37,44.87,28.74,"2023-08-28","12","n"
"2023-08-28 13:00:00",,,51.71,43.57,28.62,"2023-08-28","13","n"
"2023-08-28 14:00:00",,,54.23,43.05,28.99,"2023-08-28","14","n"
"2023-08-28 15:00:00",,,56.57,,32.29,"2023-08-28","15","n"
"2023-08-28 16:00:00",,,63.95,58.03,39.34,"2023-08-28","16","n"
"2023-08-28 17:00:00",,,71.33,,41.29,"2023-08-28","17","n"
"2023-08-28 18:00:00",,,78.71,,42.96,"2023-08-28","18","n"
"2023-08-28 19:00:00",,,80.69,,38.01,"2023-08-28","19","n"
"2023-08-28 20:00:00",,,82.67,,35.74,"2023-08-28","20","n"
"2023-08-28 21:00:00",,,84.65,80.02,26.40,"2023-08-28","21","n"
"2023-08-28 22:00:00",,,84.65,83.48,21.42,"2023-08-28","22","n"
"2023-08-28 23:00:00",,,84.65,84.58,20.66,"2023-08-28","23","n"
"2023-08-29 00:00:00",,,84.65,85.82,22.60,"2023-08-29","00","n"
"2023-08-29 01:00:00",,,79.61,85.84,22.75,"2023-08-29","01","n"
"2023-08-29 02:00:00",,,74.39,83.98,30.47,"2023-08-29","02","n"
"2023-08-29 03:00:00",,,69.35,78.91,,"2023-08-29","03","n"
"2023-08-29 04:00:00",,,65.03,74.32,39.09,"2023-08-29","04","n"
"2023-08-29 05:00:00",,,60.89,70.27,37.80,"2023-08-29","05","n"
"2023-08-29 06:00:00",,,56.57,63.99,27.81,"2023-08-29","06","n"
"2023-08-29 07:00:00",,,54.23,59.40,27.75,"2023-08-29","07","n"
"2023-08-29 08:00:00",,,51.89,56.17,28.74,"2023-08-29","08","n"
"2023-08-29 09:00:00",,,49.55,53.31,29.95,"2023-08-29","09","n"
"2023-08-29 10:00:00",,,46.85,51.58,30.11,"2023-08-29","10","n"
"2023-08-29 11:00:00",,,43.97,48.58,31.32,"2023-08-29","11","n"
"2023-08-29 12:00:00",,,41.27,48.20,30.83,"2023-08-29","12","n"
"2023-08-29 13:00:00",,,43.61,47.48,31.93,"2023-08-29","13","n"
"2023-08-29 14:00:00",,,45.95,48.65,33.51,"2023-08-29","14","n"
"2023-08-29 15:00:00",,,48.29,,38.16,"2023-08-29","15","n"
"2023-08-29 16:00:00",,,58.91,61.23,42.19,"2023-08-29","16","n"
"2023-08-29 17:00:00",,,69.71,66.63,44.19,"2023-08-29","17","n"
"2023-08-29 18:00:00",,,80.33,70.75,42.94,"2023-08-29","18","n"
"2023-08-29 19:00:00",,,82.31,,,"2023-08-29","19","n"
"2023-08-29 20:00:00",,,84.11,79.86,24.26,"2023-08-29","20","n"
"2023-08-29 21:00:00",,,86.09,83.16,8.24,"2023-08-29","21","n"
"2023-08-29 22:00:00",,,86.45,84.11,9.95,"2023-08-29","22","n"
"2023-08-29 23:00:00",,,85.91,85.37,7.75,"2023-08-29","23","n"
"2023-08-30 00:00:00",,,85.37,84.97,20.43,"2023-08-30","00","n"
"2023-08-30 01:00:00",,,79.97,85.03,20.64,"2023-08-30","01","n"
"2023-08-30 02:00:00",,,74.39,82.85,19.85,"2023-08-30","02","n"
