"Date","Snow Surface SublimationRate (in/hr)","Blowing Snow SublimationRate (in/hr)","Observed Blowing Snow","(Modeled)SnowMelt Rate (in/hr)","(Modeled)6-ft Relative Humidity (%)","(Modeled) 33-ft Wind Speed (mi/hr)","(Observed) 33-ft Wind Speed (mi/hr)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-20 14:00:00",,,,,89.9,1.62,3.61,"2023-08-20","14","n"
"2023-08-20 15:00:00",,,,,85.4,2.32,4.56,"2023-08-20","15","n"
"2023-08-20 16:00:00",,,,,75.1,3.21,3.18,"2023-08-20","16","n"
"2023-08-20 17:00:00",,,,,63.8,2.62,3.99,"2023-08-20","17","n"
"2023-08-20 18:00:00",,,,,53.1,5.36,2.95,"2023-08-20","18","n"
"2023-08-20 19:00:00",,,,,50.3,5.38,1.97,"2023-08-20","19","n"
"2023-08-20 20:00:00",,,,,56.8,7.10,4.98,"2023-08-20","20","n"
"2023-08-20 21:00:00",,,,,76.3,5.18,3.53,"2023-08-20","21","n"
"2023-08-20 22:00:00",,,,,85.9,4.65,4.08,"2023-08-20","22","n"
"2023-08-20 23:00:00",,,,,80.3,3.54,0.94,"2023-08-20","23","n"
"2023-08-21 00:00:00",,,,,72.4,2.73,3.36,"2023-08-21","00","n"
"2023-08-21 01:00:00",,,,,63.7,0.95,5.19,"2023-08-21","01","n"
"2023-08-21 02:00:00",,,,,78.6,1.57,1.34,"2023-08-21","02","n"
"2023-08-21 03:00:00",,,,,81.7,0.70,0.43,"2023-08-21","03","n"
"2023-08-21 04:00:00",,,,,94.0,2.75,1.52,"2023-08-21","04","n"
"2023-08-21 05:00:00",,,,,90.2,2.36,0.49,"2023-08-21","05","n"
"2023-08-21 06:00:00",,,,,93.5,3.54,1.54,"2023-08-21","06","n"
"2023-08-21 07:00:00",,,,,96.0,3.29,3.73,"2023-08-21","07","n"
"2023-08-21 08:00:00",,,,,94.5,2.69,3.90,"2023-08-21","08","n"
"2023-08-21 09:00:00",,,,,91.9,1.97,6.05,"2023-08-21","09","n"
"2023-08-21 10:00:00",,,,,89.1,2.87,8.76,"2023-08-21","10","n"
"2023-08-21 11:00:00",,,,,87.4,2.89,0.41,"2023-08-21","11","n"
"2023-08-21 12:00:00",,,,,87.0,2.12,1.19,"2023-08-21","12","n"
"2023-08-21 13:00:00",,,,,81.9,4.29,4.22,"2023-08-21","13","n"
"2023-08-21 14:00:00",,,,,81.5,6.07,4.33,"2023-08-21","14","n"
"2023-08-21 15:00:00",,,,,78.9,7.73,1.19,"2023-08-21","15","n"
"2023-08-21 16:00:00",,,,,72.4,8.51,1.66,"2023-08-21","16","n"
"2023-08-21 17:00:00",,,,,63.3,9.82,0.70,"2023-08-21","17","n"
"2023-08-21 18:00:00",,,,,55.9,12.65,3.79,"2023-08-21","18","n"
"2023-08-21 19:00:00",,,,,42.2,11.03,7.50,"2023-08-21","19","n"
"2023-08-21 20:00:00",,,,,35.8,10.60,10.86,"2023-08-21","20","n"
"2023-08-21 21:00:00",,,,,34.3,11.14,11.61,"2023-08-21","21","n"
"2023-08-21 22:00:00",,,,,36.8,10.75,15.79,"2023-08-21","22","n"
"2023-08-21 23:00:00",,,,,37.0,13.50,16.14,"2023-08-21","23","n"
"2023-08-22 00:00:00",,,,,37.5,12.53,12.07,"2023-08-22","00","n"
"2023-08-22 01:00:00",,,,,40.8,11.86,14.61,"2023-08-22","01","n"
"2023-08-22 02:00:00",,,,,43.8,10.22,16.65,"2023-08-22","02","n"
"2023-08-22 03:00:00",,,,,49.5,10.51,14.47,"2023-08-22","03","n"
"2023-08-22 04:00:00",,,,,57.9,7.67,11.36,"2023-08-22","04","n"
"2023-08-22 05:00:00",,,,,62.8,5.82,7.47,"2023-08-22","05","n"
"2023-08-22 06:00:00",,,,,72.0,7.40,9.64,"2023-08-22","06","n"
"2023-08-22 07:00:00",,,,,86.4,2.84,4.25,"2023-08-22","07","n"
"2023-08-22 08:00:00",,,,,82.2,3.40,4.78,"2023-08-22","08","n"
"2023-08-22 09:00:00",,,,,76.0,2.95,2.36,"2023-08-22","09","n"
"2023-08-22 10:00:00",,,,,76.6,3.42,5.99,"2023-08-22","10","n"
"2023-08-22 11:00:00",,,,,82.5,2.36,5.05,"2023-08-22","11","n"
"2023-08-22 12:00:00",,,,,82.8,2.05,4.20,"2023-08-22","12","n"
"2023-08-22 13:00:00",,,,,82.8,1.66,5.95,"2023-08-22","13","n"
"2023-08-22 14:00:00",,,,,86.7,1.38,5.12,"2023-08-22","14","n"
"2023-08-22 15:00:00",,,,,86.4,2.05,5.31,"2023-08-22","15","n"
"2023-08-22 16:00:00",,,,,77.9,2.13,2.61,"2023-08-22","16","n"
"2023-08-22 17:00:00",,,,,66.7,2.13,1.74,"2023-08-22","17","n"
"2023-08-22 18:00:00",,,,,49.2,2.66,1.73,"2023-08-22","18","n"
"2023-08-22 19:00:00",,,,,37.2,3.63,2.72,"2023-08-22","19","n"
"2023-08-22 20:00:00",,,,,33.7,4.05,1.85,"2023-08-22","20","n"
"2023-08-22 21:00:00",,,,,31.4,6.02,3.04,"2023-08-22","21","n"
"2023-08-22 22:00:00",,,,,30.8,7.82,6.56,"2023-08-22","22","n"
"2023-08-22 23:00:00",,,,,28.3,7.65,4.76,"2023-08-22","23","n"
"2023-08-23 00:00:00",,,,,28.1,7.24,4.96,"2023-08-23","00","n"
"2023-08-23 01:00:00",,,,,30.5,8.28,0.82,"2023-08-23","01","n"
"2023-08-23 02:00:00",,,,,36.3,6.88,7.01,"2023-08-23","02","n"
"2023-08-23 03:00:00",,,,,42.5,5.81,7.61,"2023-08-23","03","n"
"2023-08-23 04:00:00",,,,,51.5,3.54,7.64,"2023-08-23","04","n"
"2023-08-23 05:00:00",,,,,54.4,1.06,8.63,"2023-08-23","05","n"
"2023-08-23 06:00:00",,,,,64.6,3.36,7.15,"2023-08-23","06","n"
"2023-08-23 07:00:00",,,,,65.8,3.19,6.25,"2023-08-23","07","n"
"2023-08-23 08:00:00",,,,,65.7,2.82,4.42,"2023-08-23","08","n"
"2023-08-23 09:00:00",,,,,70.8,1.80,5.32,"2023-08-23","09","n"
"2023-08-23 10:00:00",,,,,73.8,0.95,5.12,"2023-08-23","10","n"
"2023-08-23 11:00:00",,,,,79.1,1.57,5.97,"2023-08-23","11","n"
"2023-08-23 12:00:00",,,,,76.2,1.67,5.87,"2023-08-23","12","n"
"2023-08-23 13:00:00",,,,,80.1,1.23,5.89,"2023-08-23","13","n"
"2023-08-23 14:00:00",,,,,87.1,1.76,6.58,"2023-08-23","14","n"
"2023-08-23 15:00:00",,,,,74.4,1.42,4.41,"2023-08-23","15","n"
"2023-08-23 16:00:00",,,,,61.9,1.45,0.41,"2023-08-23","16","n"
"2023-08-23 17:00:00",,,,,49.4,1.99,3.67,"2023-08-23","17","n"
"2023-08-23 18:00:00",,,,,38.9,2.24,4.58,"2023-08-23","18","n"
"2023-08-23 19:00:00",,,,,29.5,2.36,3.84,"2023-08-23","19","n"
"2023-08-23 20:00:00",,,,,26.4,3.73,4.96,"2023-08-23","20","n"
"2023-08-23 21:00:00",,,,,17.7,6.69,6.31,"2023-08-23","21","n"
"2023-08-23 22:00:00",,,,,20.7,5.82,7.14,"2023-08-23","22","n"
"2023-08-23 23:00:00",,,,,16.3,4.62,10.02,"2023-08-23","23","n"
"2023-08-24 00:00:00",,,,,18.1,6.86,8.67,"2023-08-24","00","n"
"2023-08-24 01:00:00",,,,,33.4,5.01,11.75,"2023-08-24","01","n"
"2023-08-24 02:00:00",,,,,36.7,4.43,9.85,"2023-08-24","02","n"
"2023-08-24 03:00:00",,,,,40.1,4.05,7.10,"2023-08-24","03","n"
"2023-08-24 04:00:00",,,,,44.9,3.70,2.53,"2023-08-24","04","n"
"2023-08-24 05:00:00",,,,,49.6,3.56,5.35,"2023-08-24","05","n"
"2023-08-24 06:00:00",,,,,54.4,3.25,4.93,"2023-08-24","06","n"
"2023-08-24 07:00:00",,,,,59.0,3.31,5.93,"2023-08-24","07","n"
"2023-08-24 08:00:00",,,,,63.7,3.28,5.37,"2023-08-24","08","n"
"2023-08-24 09:00:00",,,,,68.3,3.61,5.74,"2023-08-24","09","n"
"2023-08-24 10:00:00",,,,,71.8,4.11,6.77,"2023-08-24","10","n"
"2023-08-24 11:00:00",,,,,75.4,4.36,6.41,"2023-08-24","11","n"
"2023-08-24 12:00:00",,,,,78.9,4.86,6.09,"2023-08-24","12","n"
"2023-08-24 13:00:00",,,,,72.8,4.86,5.98,"2023-08-24","13","n"
"2023-08-24 14:00:00",,,,,66.8,5.11,5.94,"2023-08-24","14","n"
"2023-08-24 15:00:00",,,,,60.7,5.11,4.18,"2023-08-24","15","n"
"2023-08-24 16:00:00",,,,,49.6,6.25,2.17,"2023-08-24","16","n"
"2023-08-24 17:00:00",,,,,38.5,7.72,3.98,"2023-08-24","17","n"
"2023-08-24 18:00:00",,,,,27.4,9.24,2.35,"2023-08-24","18","n"
"2023-08-24 19:00:00",,,,,27.4,9.10,7.73,"2023-08-24","19","n"
"2023-08-24 20:00:00",,,,,27.4,9.15,16.77,"2023-08-24","20","n"
"2023-08-24 21:00:00",,,,,27.4,9.06,14.26,"2023-08-24","21","n"
"2023-08-24 22:00:00",,,,,26.2,9.88,19.01,"2023-08-24","22","n"
"2023-08-24 23:00:00",,,,,29.0,10.31,10.94,"2023-08-24","23","n"
"2023-08-25 00:00:00",,,,,31.7,10.58,18.63,"2023-08-25","00","n"
"2023-08-25 01:00:00",,,,,37.5,9.97,15.55,"2023-08-25","01","n"
"2023-08-25 02:00:00",,,,,43.2,9.31,,"2023-08-25","02","n"
"2023-08-25 03:00:00",,,,,49.0,8.71,11.30,"2023-08-25","03","n"
"2023-08-25 04:00:00",,,,,54.2,7.64,9.19,"2023-08-25","04","n"
"2023-08-25 05:00:00",,,,,59.3,7.24,10.17,"2023-08-25","05","n"
"2023-08-25 06:00:00",,,,,64.5,7.13,9.31,"2023-08-25","06","n"
"2023-08-25 07:00:00",,,,,70.5,6.84,7.66,"2023-08-25","07","n"
"2023-08-25 08:00:00",,,,,76.4,6.45,7.76,"2023-08-25","08","n"
"2023-08-25 09:00:00",,,,,82.4,6.16,6.58,"2023-08-25","09","n"
"2023-08-25 10:00:00",,,,,84.4,5.53,5.25,"2023-08-25","10","n"
"2023-08-25 11:00:00",,,,,86.4,4.90,4.15,"2023-08-25","11","n"
"2023-08-25 12:00:00",,,,,88.4,4.26,4.74,"2023-08-25","12","n"
"2023-08-25 13:00:00",,,,,79.3,3.49,6.81,"2023-08-25","13","n"
"2023-08-25 14:00:00",,,,,70.2,3.03,6.44,"2023-08-25","14","n"
"2023-08-25 15:00:00",,,,,61.1,2.45,6.58,"2023-08-25","15","n"
"2023-08-25 16:00:00",,,,,53.5,4.41,4.07,"2023-08-25","16","n"
"2023-08-25 17:00:00",,,,,45.8,6.80,3.80,"2023-08-25","17","n"
"2023-08-25 18:00:00",,,,,38.2,9.10,1.82,"2023-08-25","18","n"
"2023-08-25 19:00:00",,,,,34.4,9.29,5.29,"2023-08-25","19","n"
"2023-08-25 20:00:00",,,,,30.7,9.37,6.84,"2023-08-25","20","n"
"2023-08-25 21:00:00",,,,,26.9,9.69,5.05,"2023-08-25","21","n"
"2023-08-25 22:00:00",,,,,33.1,11.32,4.14,"2023-08-25","22","n"
"2023-08-25 23:00:00",,,,,33.5,10.94,4.46,"2023-08-25","23","n"
"2023-08-26 00:00:00",,,,,33.9,10.57,4.88,"2023-08-26","00","n"
"2023-08-26 01:00:00",,,,,37.1,9.88,6.13,"2023-08-26","01","n"
"2023-08-26 02:00:00",,,,,40.2,9.37,6.69,"2023-08-26","02","n"
"2023-08-26 03:00:00",,,,,43.4,8.69,12.68,"2023-08-26","03","n"
"2023-08-26 04:00:00",,,,,48.3,7.94,11.17,"2023-08-26","04","n"
"2023-08-26 05:00:00",,,,,53.2,7.05,11.00,"2023-08-26","05","n"
"2023-08-26 06:00:00",,,,,58.1,6.38,1.99,"2023-08-26","06","n"
"2023-08-26 07:00:00",,,,,61.8,5.91,6.47,"2023-08-26","07","n"
"2023-08-26 08:00:00",,,,,65.6,5.52,6.71,"2023-08-26","08","n"
"2023-08-26 09:00:00",,,,,69.3,5.13,4.42,"2023-08-26","09","n"
"2023-08-26 10:00:00",,,,,66.8,5.12,6.23,"2023-08-26","10","n"
"2023-08-26 11:00:00",,,,,64.4,5.08,6.69,"2023-08-26","11","n"
"2023-08-26 12:00:00",,,,,61.9,5.14,6.88,"2023-08-26","12","n"
"2023-08-26 13:00:00",,,,,55.1,4.65,6.70,"2023-08-26","13","n"
"2023-08-26 14:00:00",,,,,48.4,4.12,6.21,"2023-08-26","14","n"
"2023-08-26 15:00:00",,,,,41.6,3.91,4.78,"2023-08-26","15","n"
"2023-08-26 16:00:00",,,,,36.3,5.83,0.83,"2023-08-26","16","n"
"2023-08-26 17:00:00",,,,,31.1,8.05,2.19,"2023-08-26","17","n"
"2023-08-26 18:00:00",,,,,25.8,10.16,2.89,"2023-08-26","18","n"
"2023-08-26 19:00:00",,,,,24.0,9.47,3.92,"2023-08-26","19","n"
"2023-08-26 20:00:00",,,,,22.3,8.66,5.43,"2023-08-26","20","n"
"2023-08-26 21:00:00",,,,,20.5,8.10,5.49,"2023-08-26","21","n"
"2023-08-26 22:00:00",,,,,22.9,7.40,5.21,"2023-08-26","22","n"
"2023-08-26 23:00:00",,,,,23.7,7.41,3.87,"2023-08-26","23","n"
"2023-08-27 00:00:00",,,,,24.5,7.27,3.34,"2023-08-27","00","n"
"2023-08-27 01:00:00",,,,,29.2,6.92,4.44,"2023-08-27","01","n"
"2023-08-27 02:00:00",,,,,34.0,6.57,11.08,"2023-08-27","02","n"
"2023-08-27 03:00:00",,,,,38.7,6.23,13.26,"2023-08-27","03","n"
"2023-08-27 04:00:00",,,,,47.4,3.63,5.08,"2023-08-27","04","n"
"2023-08-27 05:00:00",,,,,56.1,2.82,1.40,"2023-08-27","05","n"
"2023-08-27 06:00:00",,,,,64.8,4.65,5.72,"2023-08-27","06","n"
"2023-08-27 07:00:00",,,,,66.9,4.61,5.73,"2023-08-27","07","n"
"2023-08-27 08:00:00",,,,,68.9,4.37,6.21,"2023-08-27","08","n"
"2023-08-27 09:00:00",,,,,71.0,4.44,6.23,"2023-08-27","09","n"
"2023-08-27 10:00:00",,,,,72.1,4.02,6.38,"2023-08-27","10","n"
"2023-08-27 11:00:00",,,,,73.3,3.54,6.50,"2023-08-27","11","n"
"2023-08-27 12:00:00",,,,,74.4,3.17,7.14,"2023-08-27","12","n"
"2023-08-27 13:00:00",,,,,68.0,2.13,6.62,"2023-08-27","13","n"
"2023-08-27 14:00:00",,,,,61.7,1.27,6.21,"2023-08-27","14","n"
"2023-08-27 15:00:00",,,,,55.3,0.53,4.88,"2023-08-27","15","n"
"2023-08-27 16:00:00",,,,,44.7,1.62,1.36,"2023-08-27","16","n"
"2023-08-27 17:00:00",,,,,34.1,3.17,2.69,"2023-08-27","17","n"
"2023-08-27 18:00:00",,,,,23.5,4.97,3.87,"2023-08-27","18","n"
"2023-08-27 19:00:00",,,,,19.9,4.91,4.50,"2023-08-27","19","n"
"2023-08-27 20:00:00",,,,,16.4,5.07,4.72,"2023-08-27","20","n"
"2023-08-27 21:00:00",,,,,12.8,5.01,4.37,"2023-08-27","21","n"
"2023-08-27 22:00:00",,,,,18.2,3.42,2.50,"2023-08-27","22","n"
"2023-08-27 23:00:00",,,,,17.9,3.28,2.30,"2023-08-27","23","n"
"2023-08-28 00:00:00",,,,,17.5,3.12,4.26,"2023-08-28","00","n"
"2023-08-28 01:00:00",,,,,19.5,4.20,3.43,"2023-08-28","01","n"
"2023-08-28 02:00:00",,,,,21.5,5.67,4.29,"2023-08-28","02","n"
"2023-08-28 03:00:00",,,,,23.5,6.97,5.02,"2023-08-28","03","n"
"2023-08-28 04:00:00",,,,,26.6,5.44,6.73,"2023-08-28","04","n"
"2023-08-28 05:00:00",,,,,29.7,4.02,6.05,"2023-08-28","05","n"
"2023-08-28 06:00:00",,,,,32.8,2.62,6.41,"2023-08-28","06","n"
"2023-08-28 07:00:00",,,,,36.0,1.73,6.18,"2023-08-28","07","n"
"2023-08-28 08:00:00",,,,,39.2,1.34,5.93,"2023-08-28","08","n"
"2023-08-28 09:00:00",,,,,42.4,2.05,5.68,"2023-08-28","09","n"
"2023-08-28 10:00:00",,,,,43.7,2.21,7.62,"2023-08-28","10","n"
"2023-08-28 11:00:00",,,,,45.1,2.60,6.73,"2023-08-28","11","n"
"2023-08-28 12:00:00",,,,,46.4,2.76,7.57,"2023-08-28","12","n"
"2023-08-28 13:00:00",,,,,43.8,2.93,6.77,"2023-08-28","13","n"
"2023-08-28 14:00:00",,,,,41.1,3.03,6.61,"2023-08-28","14","n"
"2023-08-28 15:00:00",,,,,38.5,3.25,5.44,"2023-08-28","15","n"
"2023-08-28 16:00:00",,,,,31.8,3.12,0.11,"2023-08-28","16","n"
"2023-08-28 17:00:00",,,,,25.2,3.91,2.88,"2023-08-28","17","n"
"2023-08-28 18:00:00",,,,,18.5,5.20,3.04,"2023-08-28","18","n"
"2023-08-28 19:00:00",,,,,17.4,5.30,4.59,"2023-08-28","19","n"
"2023-08-28 20:00:00",,,,,16.2,5.40,5.37,"2023-08-28","20","n"
"2023-08-28 21:00:00",,,,,15.1,5.52,4.65,"2023-08-28","21","n"
"2023-08-28 22:00:00",,,,,15.8,5.21,4.13,"2023-08-28","22","n"
"2023-08-28 23:00:00",,,,,16.6,5.04,5.51,"2023-08-28","23","n"
"2023-08-29 00:00:00",,,,,17.5,4.84,3.12,"2023-08-29","00","n"
"2023-08-29 01:00:00",,,,,21.3,5.39,3.91,"2023-08-29","01","n"
"2023-08-29 02:00:00",,,,,25.0,5.91,2.01,"2023-08-29","02","n"
"2023-08-29 03:00:00",,,,,28.8,6.46,3.88,"2023-08-29","03","n"
"2023-08-29 04:00:00",,,,,41.7,4.81,5.86,"2023-08-29","04","n"
"2023-08-29 05:00:00",,,,,54.7,4.26,1.34,"2023-08-29","05","n"
"2023-08-29 06:00:00",,,,,67.6,4.91,5.87,"2023-08-29","06","n"
