#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
151,05/21/2024 23:18:56,4.54,29.91,-11.56,,
152,05/21/2024 23:23:56,3.64,31.71,-11.63,,
153,05/21/2024 23:28:56,2.98,32.96,-11.73,,
154,05/21/2024 23:33:56,2.65,33.45,-11.84,,
155,05/21/2024 23:38:56,2.45,33.74,-11.90,,
156,05/21/2024 23:43:56,2.41,33.82,-11.91,,
157,05/21/2024 23:48:56,2.45,34.08,-11.78,,
158,05/21/2024 23:53:56,2.25,34.51,-11.80,,
159,05/21/2024 23:58:56,1.92,35.05,-11.90,,
160,05/22/2024 00:03:56,1.54,35.86,-11.95,,
161,05/22/2024 00:08:56,1.29,36.48,-11.96,,
162,05/22/2024 00:13:56,1.27,36.38,-12.02,,
163,05/22/2024 00:18:56,1.16,35.83,-12.30,,
164,05/22/2024 00:23:56,0.54,37.11,-12.42,,
165,05/22/2024 00:28:56,-0.04,38.81,-12.39,,
166,05/22/2024 00:33:56,-0.38,39.83,-12.38,,
167,05/22/2024 00:38:56,-0.67,41.01,-12.27,,
168,05/22/2024 00:43:56,-0.75,41.58,-12.18,,
169,05/22/2024 00:48:56,-0.96,41.78,-12.31,,
170,05/22/2024 00:53:56,-1.20,42.40,-12.35,,
171,05/22/2024 00:58:56,-1.27,42.61,-12.35,,
172,05/22/2024 01:03:56,-1.37,42.73,-12.40,,
173,05/22/2024 01:08:56,-1.60,43.33,-12.44,,
174,05/22/2024 01:13:56,-1.84,43.75,-12.55,,
175,05/22/2024 01:18:56,-2.07,43.90,-12.71,,
176,05/22/2024 01:23:56,-2.20,44.46,-12.67,,
177,05/22/2024 01:28:56,-2.12,44.59,-12.56,,
178,05/22/2024 01:33:56,-1.95,44.19,-12.52,,
179,05/22/2024 01:38:56,-1.82,43.91,-12.48,,
180,05/22/2024 01:43:56,-1.78,43.84,-12.46,,
181,05/22/2024 01:48:56,-1.72,43.69,-12.45,,
182,05/22/2024 01:53:56,-1.74,43.85,-12.42,,
183,05/22/2024 01:58:56,-1.80,44.09,-12.41,,
184,05/22/2024 02:03:56,-1.86,44.02,-12.49,,
185,05/22/2024 02:08:56,-1.95,43.98,-12.57,,
186,05/22/2024 02:13:56,-2.00,44.17,-12.57,,
187,05/22/2024 02:18:56,-2.02,44.19,-12.58,,
188,05/22/2024 02:23:56,-1.93,44.10,-12.53,,
189,05/22/2024 02:28:56,-1.74,43.98,-12.39,,
190,05/22/2024 02:33:56,-1.51,43.76,-12.24,,
191,05/22/2024 02:38:56,-1.31,43.49,-12.13,,
192,05/22/2024 02:43:56,-1.24,43.49,-12.07,,
193,05/22/2024 02:48:56,-1.13,43.48,-11.97,,
194,05/22/2024 02:53:56,-1.02,43.33,-11.92,,
195,05/22/2024 02:58:56,-1.05,43.17,-11.99,,
196,05/22/2024 03:03:56,-1.09,43.16,-12.03,,
197,05/22/2024 03:08:56,-1.04,43.15,-11.98,,
198,05/22/2024 03:13:56,-0.99,42.95,-11.99,,
199,05/22/2024 03:18:56,-1.04,43.08,-12.00,,
200,05/22/2024 03:23:56,-1.12,43.26,-12.02,,
201,05/22/2024 03:28:56,-1.15,43.23,-12.06,,
202,05/22/2024 03:33:56,-1.06,42.78,-12.11,,
203,05/22/2024 03:38:56,-1.08,42.61,-12.18,,
204,05/22/2024 03:43:56,-1.10,42.78,-12.15,,
205,05/22/2024 03:48:56,-1.03,42.73,-12.10,,
206,05/22/2024 03:53:56,-0.93,42.53,-12.06,,
207,05/22/2024 03:58:56,-0.93,42.45,-12.09,,
208,05/22/2024 04:03:56,-1.02,42.79,-12.07,,
209,05/22/2024 04:08:56,-1.12,43.00,-12.10,,
210,05/22/2024 04:13:56,-1.22,43.37,-12.09,,
211,05/22/2024 04:18:56,-1.26,43.71,-12.02,,
212,05/22/2024 04:23:56,-1.27,43.98,-11.95,,
213,05/22/2024 04:28:56,-1.24,43.84,-11.96,,
214,05/22/2024 04:33:56,-1.20,43.92,-11.91,,
215,05/22/2024 04:38:56,-1.06,43.85,-11.80,,
216,05/22/2024 04:43:56,-0.87,43.52,-11.72,,
217,05/22/2024 04:48:56,-0.82,43.14,-11.79,,
218,05/22/2024 04:53:56,-0.97,43.72,-11.76,,
219,05/22/2024 04:58:56,-0.94,43.82,-11.70,,
220,05/22/2024 05:03:56,-0.91,44.00,-11.63,,
221,05/22/2024 05:08:56,-1.02,44.21,-11.66,,
222,05/22/2024 05:13:56,-1.17,44.65,-11.68,,
223,05/22/2024 05:18:56,-1.36,45.38,-11.65,,
224,05/22/2024 05:23:56,-1.54,45.99,-11.65,,
225,05/22/2024 05:28:56,-1.75,46.66,-11.66,,
226,05/22/2024 05:33:56,-1.82,46.75,-11.70,,
227,05/22/2024 05:38:56,-1.99,47.16,-11.75,,
228,05/22/2024 05:43:56,-2.11,47.97,-11.65,,
229,05/22/2024 05:48:56,-2.18,48.43,-11.59,,
230,05/22/2024 05:53:56,-2.26,48.74,-11.59,,
231,05/22/2024 05:58:56,-2.28,49.16,-11.50,,
232,05/22/2024 06:03:56,-2.32,49.40,-11.48,,
233,05/22/2024 06:08:56,-2.32,50.30,-11.25,,
234,05/22/2024 06:13:56,-2.06,50.30,-11.01,,
235,05/22/2024 06:18:56,-1.63,49.91,-10.71,,
236,05/22/2024 06:23:56,-1.18,49.38,-10.43,,
237,05/22/2024 06:28:56,-0.59,48.84,-10.02,,
238,05/22/2024 06:33:56,0.18,46.71,-9.88,,
239,05/22/2024 06:38:56,0.90,44.88,-9.72,,
240,05/22/2024 06:43:56,1.63,43.78,-9.37,,
241,05/22/2024 06:48:56,2.40,42.89,-8.93,,
242,05/22/2024 06:53:56,3.29,41.06,-8.68,,
243,05/22/2024 06:58:56,4.13,39.87,-8.29,,
244,05/22/2024 07:03:56,5.00,38.09,-8.10,,
245,05/22/2024 07:08:56,5.80,36.22,-8.03,,
246,05/22/2024 07:13:56,6.42,34.92,-7.95,,
247,05/22/2024 07:18:56,6.97,33.84,-7.86,,
248,05/22/2024 07:23:56,7.52,33.80,-7.40,,
249,05/22/2024 07:28:56,8.02,33.47,-7.08,,
250,05/22/2024 07:33:56,8.54,32.78,-6.90,,
251,05/22/2024 07:38:56,9.02,31.18,-7.12,,
252,05/22/2024 07:43:56,9.40,31.25,-6.76,,
253,05/22/2024 07:48:56,9.75,29.21,-7.33,,
254,05/22/2024 07:53:56,9.99,29.05,-7.19,,
255,05/22/2024 07:58:56,10.35,30.03,-6.45,,
256,05/22/2024 08:03:56,10.80,30.24,-5.96,,
257,05/22/2024 08:08:56,11.04,30.63,-5.59,,
258,05/22/2024 08:13:56,11.31,31.38,-5.04,,
259,05/22/2024 08:18:56,11.60,30.74,-5.05,,
260,05/22/2024 08:23:56,11.94,30.38,-4.91,,
261,05/22/2024 08:28:56,12.31,29.90,-4.80,,
262,05/22/2024 08:33:56,12.51,29.76,-4.69,,
263,05/22/2024 08:38:56,12.64,29.47,-4.71,,
264,05/22/2024 08:43:56,12.93,29.78,-4.32,,
265,05/22/2024 08:48:56,13.10,29.82,-4.15,,
266,05/22/2024 08:53:56,13.34,29.04,-4.29,,
267,05/22/2024 08:58:56,13.55,28.97,-4.15,,
268,05/22/2024 09:03:56,13.48,29.15,-4.13,,
269,05/22/2024 09:08:56,13.85,28.09,-4.29,,
270,05/22/2024 09:13:56,14.13,27.84,-4.17,,
271,05/22/2024 09:18:56,14.09,28.54,-3.87,,
272,05/22/2024 09:23:56,14.26,28.22,-3.88,,
273,05/22/2024 09:28:56,14.48,26.50,-4.53,,
274,05/22/2024 09:33:56,14.51,23.98,-5.81,,
275,05/22/2024 09:38:56,14.91,21.73,-6.76,,
276,05/22/2024 09:43:56,15.22,22.16,-6.25,,
277,05/22/2024 09:48:56,15.17,22.58,-6.05,,
278,05/22/2024 09:53:56,15.33,22.11,-6.18,,
279,05/22/2024 09:58:56,15.69,21.50,-6.25,,
280,05/22/2024 10:03:56,16.15,17.99,-8.18,,
281,05/22/2024 10:08:56,16.52,19.43,-6.88,,
282,05/22/2024 10:13:56,16.57,18.79,-7.27,,
283,05/22/2024 10:18:56,16.76,18.95,-7.01,,
284,05/22/2024 10:23:56,16.91,18.36,-7.30,,
285,05/22/2024 10:28:56,16.88,18.89,-6.95,,
286,05/22/2024 10:33:56,16.80,18.73,-7.13,,
287,05/22/2024 10:38:56,17.21,17.91,-7.37,,
288,05/22/2024 10:43:56,17.46,17.21,-7.68,,
289,05/22/2024 10:48:56,17.60,16.84,-7.85,,
290,05/22/2024 10:53:56,17.84,16.70,-7.76,,
291,05/22/2024 10:58:56,17.85,17.36,-7.25,,
292,05/22/2024 11:03:56,18.27,15.52,-8.35,,
293,05/22/2024 11:08:56,18.52,15.49,-8.18,,
294,05/22/2024 11:13:56,18.65,16.89,-6.95,,
295,05/22/2024 11:18:56,18.92,15.38,-7.95,,
296,05/22/2024 11:23:56,18.90,16.46,-7.09,,
297,05/22/2024 11:28:56,18.60,16.36,-7.41,,
298,05/22/2024 11:33:56,18.94,16.90,-6.71,,
299,05/22/2024 11:38:56,19.37,16.73,-6.50,,
300,05/22/2024 11:43:56,19.69,15.94,-6.86,,
301,05/22/2024 11:48:56,19.73,15.68,-7.05,,
302,05/22/2024 11:53:56,19.47,16.03,-6.97,,
303,05/22/2024 11:58:56,19.54,15.91,-7.01,,
304,05/22/2024 12:03:56,19.32,15.93,-7.18,,
305,05/22/2024 12:08:56,19.53,15.96,-6.97,,
306,05/22/2024 12:13:56,19.61,15.76,-7.08,,
307,05/22/2024 12:18:56,19.90,15.82,-6.79,,
308,05/22/2024 12:22:32,,,,Logged,
309,05/22/2024 12:23:56,20.32,14.97,-7.17,,
310,05/22/2024 12:28:56,20.45,15.19,-6.88,,
311,05/22/2024 12:33:56,20.33,15.73,-6.52,,
312,05/22/2024 12:38:56,20.70,15.30,-6.59,,
313,05/22/2024 12:43:56,20.69,14.64,-7.17,,
314,05/22/2024 12:48:56,20.62,15.08,-6.84,,
315,05/22/2024 12:53:56,20.84,14.43,-7.23,,
316,05/22/2024 12:58:56,20.90,14.43,-7.19,,
317,05/22/2024 13:03:56,20.78,14.48,-7.23,,
318,05/22/2024 13:08:56,20.94,14.91,-6.73,,
319,05/22/2024 13:13:56,21.10,14.44,-7.02,,
320,05/22/2024 13:18:56,21.36,13.96,-7.25,,
321,05/22/2024 13:23:56,21.42,13.49,-7.64,,
322,05/22/2024 13:28:56,21.44,13.72,-7.41,,
323,05/22/2024 13:33:56,21.26,14.26,-7.05,,
324,05/22/2024 13:38:56,21.06,14.09,-7.37,,
325,05/22/2024 13:43:56,21.11,13.65,-7.74,,
326,05/22/2024 13:48:56,21.22,14.71,-6.68,,
327,05/22/2024 13:53:56,21.16,14.90,-6.56,,
328,05/22/2024 13:58:56,21.18,14.37,-7.02,,
329,05/22/2024 14:03:56,21.15,14.32,-7.09,,
330,05/22/2024 14:08:56,21.41,14.61,-6.62,,
331,05/22/2024 14:13:56,22.05,14.07,-6.60,,
332,05/22/2024 14:18:56,21.97,13.63,-7.08,,
333,05/22/2024 14:23:56,21.38,14.68,-6.58,,
334,05/22/2024 14:28:56,21.40,14.44,-6.78,,
335,05/22/2024 14:33:56,21.37,14.61,-6.66,,
336,05/22/2024 14:38:56,21.55,15.13,-6.05,,
337,05/22/2024 14:43:56,21.92,14.15,-6.63,,
338,05/22/2024 14:48:56,21.60,14.71,-6.38,,
339,05/22/2024 14:53:56,21.63,14.28,-6.74,,
340,05/22/2024 14:58:56,21.57,13.98,-7.07,,
341,05/22/2024 15:03:56,21.38,14.38,-6.85,,
342,05/22/2024 15:08:56,21.11,14.72,-6.76,,
343,05/22/2024 15:13:56,20.76,14.68,-7.07,,
344,05/22/2024 15:18:56,20.82,15.45,-6.36,,
345,05/22/2024 15:23:56,20.92,14.81,-6.83,,
346,05/22/2024 15:28:56,20.51,15.57,-6.52,,
347,05/22/2024 15:33:56,20.48,15.72,-6.40,,
348,05/22/2024 15:38:56,20.47,16.49,-5.79,,
349,05/22/2024 15:43:56,20.78,15.71,-6.18,,
350,05/22/2024 15:48:56,20.45,15.92,-6.27,,
351,05/22/2024 15:53:56,20.67,15.00,-6.87,,
352,05/22/2024 15:58:56,20.67,15.57,-6.38,,
353,05/22/2024 16:03:56,20.75,15.21,-6.62,,
354,05/22/2024 16:08:56,20.65,15.65,-6.34,,
355,05/22/2024 16:13:56,20.42,15.55,-6.60,,
356,05/22/2024 16:18:56,20.38,17.07,-5.42,,
357,05/22/2024 16:23:56,20.38,16.52,-5.84,,
358,05/22/2024 16:28:56,20.26,16.34,-6.07,,
359,05/22/2024 16:33:56,20.17,16.14,-6.31,,
360,05/22/2024 16:38:56,20.05,16.30,-6.28,,
361,05/22/2024 16:43:56,19.99,17.01,-5.78,,
362,05/22/2024 16:48:56,19.91,16.83,-5.98,,
363,05/22/2024 16:53:56,19.90,17.89,-5.19,,
364,05/22/2024 16:58:56,19.88,17.20,-5.72,,
365,05/22/2024 17:03:56,19.64,17.33,-5.82,,
366,05/22/2024 17:08:56,19.77,18.09,-5.14,,
367,05/22/2024 17:13:56,19.97,17.51,-5.41,,
368,05/22/2024 17:18:56,19.50,17.96,-5.46,,
369,05/22/2024 17:23:56,19.21,18.47,-5.33,,
370,05/22/2024 17:28:56,18.91,18.56,-5.52,,
371,05/22/2024 17:33:56,18.86,19.80,-4.70,,
372,05/22/2024 17:38:56,18.88,19.55,-4.85,,
373,05/22/2024 17:43:56,18.62,19.85,-4.87,,
374,05/22/2024 17:48:56,18.41,20.16,-4.83,,
375,05/22/2024 17:53:56,18.29,20.42,-4.77,,
376,05/22/2024 17:58:56,18.33,21.08,-4.31,,
377,05/22/2024 18:03:56,18.17,21.19,-4.38,,
378,05/22/2024 18:08:56,18.20,21.21,-4.34,,
379,05/22/2024 18:13:56,18.11,21.98,-3.94,,
380,05/22/2024 18:18:56,18.02,21.47,-4.32,,
381,05/22/2024 18:23:56,17.80,22.29,-4.01,,
382,05/22/2024 18:28:56,17.89,22.60,-3.75,,
383,05/22/2024 18:33:56,17.88,22.23,-3.98,,
384,05/22/2024 18:38:56,17.79,22.30,-4.02,,
385,05/22/2024 18:43:56,17.63,22.47,-4.04,,
386,05/22/2024 18:48:56,17.37,22.86,-4.04,,
387,05/22/2024 18:53:56,17.22,23.38,-3.87,,
388,05/22/2024 18:58:56,17.08,23.19,-4.09,,
389,05/22/2024 19:03:56,16.82,23.38,-4.20,,
390,05/22/2024 19:08:56,16.69,23.81,-4.07,,
391,05/22/2024 19:13:56,16.57,22.98,-4.64,,
392,05/22/2024 19:18:56,16.34,23.92,-4.30,,
393,05/22/2024 19:23:56,16.15,24.07,-4.38,,
394,05/22/2024 19:28:56,15.91,24.56,-4.31,,
395,05/22/2024 19:33:56,15.73,24.77,-4.36,,
396,05/22/2024 19:38:56,15.51,24.68,-4.59,,
397,05/22/2024 19:43:56,15.27,24.79,-4.73,,
398,05/22/2024 19:48:56,15.04,25.30,-4.66,,
399,05/22/2024 19:53:56,14.77,25.66,-4.70,,
400,05/22/2024 19:58:56,14.51,25.69,-4.91,,
401,05/22/2024 20:03:56,14.19,26.50,-4.78,,
402,05/22/2024 20:08:56,13.85,27.09,-4.77,,
403,05/22/2024 20:13:56,13.52,27.70,-4.76,,
404,05/22/2024 20:18:56,13.13,28.47,-4.74,,
405,05/22/2024 20:23:56,12.84,29.22,-4.65,,
406,05/22/2024 20:28:56,12.77,29.73,-4.48,,
407,05/22/2024 20:33:56,12.62,29.82,-4.57,,
408,05/22/2024 20:38:56,12.44,30.31,-4.51,,
409,05/22/2024 20:43:56,12.19,30.57,-4.62,,
410,05/22/2024 20:48:56,11.83,31.10,-4.70,,
411,05/22/2024 20:53:56,11.52,31.82,-4.67,,
412,05/22/2024 20:58:56,11.30,32.19,-4.70,,
413,05/22/2024 21:03:56,10.96,32.80,-4.76,,
414,05/22/2024 21:08:56,10.60,33.42,-4.83,,
415,05/22/2024 21:13:56,10.44,33.83,-4.81,,
416,05/22/2024 21:18:56,10.43,33.95,-4.77,,
417,05/22/2024 21:23:56,10.82,33.07,-4.77,,
418,05/22/2024 21:28:56,11.33,31.36,-5.02,,
419,05/22/2024 21:33:56,11.47,30.89,-5.11,,
420,05/22/2024 21:38:56,11.32,30.39,-5.45,,
421,05/22/2024 21:43:56,11.40,29.79,-5.64,,
422,05/22/2024 21:48:56,11.64,29.20,-5.70,,
423,05/22/2024 21:53:56,11.66,29.12,-5.72,,
424,05/22/2024 21:58:56,11.46,29.19,-5.86,,
425,05/22/2024 22:03:56,11.37,29.11,-5.97,,
426,05/22/2024 22:08:56,11.30,29.44,-5.89,,
427,05/22/2024 22:13:56,11.16,28.72,-6.33,,
428,05/22/2024 22:18:56,11.49,28.79,-6.01,,
429,05/22/2024 22:23:56,11.41,28.72,-6.11,,
430,05/22/2024 22:28:56,11.23,29.21,-6.04,,
431,05/22/2024 22:33:56,11.16,29.95,-5.78,,
432,05/22/2024 22:38:56,11.12,30.53,-5.57,,
433,05/22/2024 22:43:56,10.80,30.56,-5.83,,
434,05/22/2024 22:48:56,10.23,30.97,-6.15,,
435,05/22/2024 22:53:56,9.87,32.05,-6.02,,
436,05/22/2024 22:58:56,9.66,32.43,-6.05,,
437,05/22/2024 23:03:56,9.61,32.53,-6.05,,
438,05/22/2024 23:08:56,9.38,32.66,-6.20,,
439,05/22/2024 23:13:56,9.47,32.34,-6.25,,
440,05/22/2024 23:18:56,9.50,32.44,-6.18,,
441,05/22/2024 23:23:56,9.48,32.49,-6.19,,
442,05/22/2024 23:28:56,9.30,32.62,-6.29,,
443,05/22/2024 23:33:56,8.81,33.48,-6.38,,
444,05/22/2024 23:38:56,8.26,34.40,-6.51,,
445,05/22/2024 23:43:56,7.83,34.28,-6.93,,
446,05/22/2024 23:48:56,7.73,34.59,-6.91,,
447,05/22/2024 23:53:56,7.52,34.66,-7.08,,
448,05/22/2024 23:58:56,7.20,35.33,-7.10,,
449,05/23/2024 00:03:56,5.98,37.87,-7.30,,
450,05/23/2024 00:08:56,5.19,40.09,-7.27,,
451,05/23/2024 00:13:56,4.99,40.75,-7.24,,
452,05/23/2024 00:18:56,5.05,40.61,-7.23,,
453,05/23/2024 00:23:56,5.23,40.36,-7.15,,
454,05/23/2024 00:28:56,5.10,40.58,-7.19,,
455,05/23/2024 00:33:56,4.83,41.56,-7.13,,
456,05/23/2024 00:38:56,4.55,42.02,-7.24,,
457,05/23/2024 00:43:56,4.42,42.44,-7.23,,
458,05/23/2024 00:48:56,4.45,42.35,-7.23,,
459,05/23/2024 00:53:56,4.09,42.09,-7.63,,
460,05/23/2024 00:58:56,3.39,43.28,-7.91,,
461,05/23/2024 01:03:56,2.69,46.21,-7.71,,
