"Plot Title: Evap Pan Level"
"#","Date Time, GMT-07:00","EV pan Level   mm, Millimeter (LGR S/N: 21620751)","Host Connected (LGR S/N: 21620751)","Stopped (LGR S/N: 21620751)","End Of File (LGR S/N: 21620751)"
37,08/19/23 06:49:15 PM,221.825,,,
38,08/19/23 08:49:15 PM,223.200,,,
39,08/19/23 10:49:15 PM,223.923,,,
40,08/20/23 12:49:15 AM,225.423,,,
41,08/20/23 02:49:15 AM,227.328,,,
42,08/20/23 04:49:15 AM,227.895,,,
43,08/20/23 06:49:15 AM,228.275,,,
44,08/20/23 08:49:15 AM,228.688,,,
45,08/20/23 10:49:15 AM,229.087,,,
46,08/20/23 12:49:15 PM,229.764,,,
47,08/20/23 02:49:15 PM,232.180,,,
48,08/20/23 04:49:15 PM,232.849,,,
49,08/20/23 06:49:15 PM,234.488,,,
50,08/20/23 08:49:15 PM,235.958,,,
51,08/20/23 10:49:15 PM,238.931,,,
52,08/21/23 12:49:15 AM,242.793,,,
53,08/21/23 02:49:15 AM,244.964,,,
54,08/21/23 04:49:15 AM,245.473,,,
55,08/21/23 06:49:15 AM,245.842,,,
56,08/21/23 08:49:15 AM,246.307,,,
57,08/21/23 10:49:15 AM,246.690,,,
58,08/21/23 12:49:15 PM,246.928,,,
59,08/21/23 02:49:15 PM,246.704,,,
60,08/21/23 04:49:15 PM,246.083,,,
61,08/21/23 06:49:15 PM,245.451,,,
62,08/21/23 08:49:15 PM,245.052,,,
63,08/21/23 10:49:15 PM,245.078,,,
64,08/22/23 12:49:15 AM,246.247,,,
65,08/22/23 02:49:15 AM,246.317,,,
66,08/22/23 04:49:15 AM,246.474,,,
67,08/22/23 06:49:15 AM,246.587,,,
68,08/22/23 08:49:15 AM,246.785,,,
69,08/22/23 10:49:15 AM,247.575,,,
70,08/22/23 12:49:15 PM,247.670,,,
71,08/22/23 02:49:15 PM,247.191,,,
72,08/22/23 04:49:15 PM,246.386,,,
73,08/22/23 06:49:15 PM,245.729,,,
74,08/22/23 08:49:15 PM,245.249,,,
75,08/22/23 10:49:15 PM,245.082,,,
76,08/23/23 12:49:15 AM,245.004,,,
77,08/23/23 02:49:15 AM,244.917,,,
78,08/23/23 04:49:15 AM,244.657,,,
79,08/23/23 06:49:15 AM,244.606,,,
80,08/23/23 08:49:15 AM,244.712,,,
81,08/23/23 10:49:15 AM,245.004,,,
82,08/23/23 12:49:15 PM,244.844,,,
83,08/23/23 02:49:15 PM,244.251,,,
84,08/23/23 04:49:15 PM,243.399,,,
85,08/23/23 06:49:15 PM,242.243,,,
86,08/23/23 08:49:15 PM,241.713,,,
87,08/23/23 10:49:15 PM,241.417,,,
88,08/24/23 12:49:15 AM,241.165,,,
89,08/24/23 02:49:15 AM,240.989,,,
90,08/24/23 04:49:15 AM,240.605,,,
91,08/24/23 06:49:15 AM,239.519,,,
92,08/24/23 08:49:15 AM,239.984,,,
93,08/24/23 10:49:15 AM,240.159,,,
94,08/24/23 12:49:15 PM,239.710,,,
95,08/24/23 02:49:15 PM,239.186,,,
96,08/24/23 04:49:15 PM,237.998,,,
97,08/24/23 06:49:15 PM,237.234,,,
98,08/24/23 08:49:15 PM,236.806,,,
99,08/24/23 10:49:15 PM,236.492,,,
100,08/25/23 12:49:15 AM,236.115,,,
101,08/25/23 02:49:15 AM,236.017,,,
102,08/25/23 04:49:15 AM,235.486,,,
103,08/25/23 06:49:15 AM,235.354,,,
104,08/25/23 08:49:15 AM,235.281,,,
105,08/25/23 10:49:15 AM,235.863,,,
106,08/25/23 12:49:15 PM,234.177,,,
107,08/25/23 02:49:15 PM,233.021,,,
108,08/25/23 04:49:15 PM,231.698,,,
109,08/25/23 06:49:15 PM,230.341,,,
110,08/25/23 08:49:15 PM,229.200,,,
111,08/25/23 10:49:15 PM,228.487,,,
112,08/26/23 12:49:15 AM,227.574,,,
113,08/26/23 02:49:15 AM,227.032,,,
114,08/26/23 04:49:15 AM,226.030,,,
115,08/26/23 06:49:15 AM,226.049,,,
116,08/26/23 08:49:15 AM,226.210,,,
117,08/26/23 10:49:15 AM,226.546,,,
118,08/26/23 12:49:15 PM,226.231,,,
119,08/26/23 02:49:15 PM,225.218,,,
120,08/26/23 04:49:15 PM,224.231,,,
121,08/26/23 06:49:15 PM,222.801,,,
122,08/26/23 08:49:15 PM,222.128,,,
123,08/26/23 10:49:15 PM,221.653,,,
124,08/27/23 12:49:15 AM,221.138,,,
125,08/27/23 02:49:15 AM,220.709,,,
126,08/27/23 04:49:15 AM,219.437,,,
127,08/27/23 06:49:15 AM,218.662,,,
128,08/27/23 08:49:15 AM,220.366,,,
129,08/27/23 10:49:15 AM,220.428,,,
130,08/27/23 12:49:15 PM,220.107,,,
131,08/27/23 02:49:15 PM,219.645,,,
132,08/27/23 04:49:15 PM,218.176,,,
133,08/27/23 06:49:15 PM,217.225,,,
134,08/27/23 08:49:15 PM,216.164,,,
135,08/27/23 10:49:15 PM,215.481,,,
136,08/28/23 12:49:15 AM,215.023,,,
137,08/28/23 02:49:15 AM,214.344,,,
138,08/28/23 04:49:15 AM,214.095,,,
139,08/28/23 06:49:15 AM,213.828,,,
140,08/28/23 08:49:15 AM,214.274,,,
141,08/28/23 10:49:15 AM,214.267,,,
142,08/28/23 12:49:15 PM,213.985,,,
143,08/28/23 02:49:15 PM,213.286,,,
144,08/28/23 04:49:15 PM,212.281,,,
145,08/28/23 06:49:15 PM,211.231,,,
146,08/28/23 08:49:15 PM,210.233,,,
147,08/28/23 10:49:15 PM,209.513,,,
148,08/29/23 12:49:15 AM,209.107,,,
149,08/29/23 02:49:15 AM,208.720,,,
150,08/29/23 04:49:15 AM,208.430,,,
151,08/29/23 06:49:15 AM,208.259,,,
152,08/29/23 08:49:15 AM,208.285,,,
153,08/29/23 10:49:15 AM,208.061,,,
154,08/29/23 12:49:15 PM,207.473,,,
155,08/29/23 02:49:15 PM,206.200,,,
156,08/29/23 04:49:15 PM,204.906,,,
157,08/29/23 06:49:15 PM,203.411,,,
158,08/29/23 08:49:15 PM,202.097,,,
159,08/29/23 10:49:15 PM,201.359,,,
160,08/30/23 12:49:15 AM,200.759,,,
161,08/30/23 02:49:15 AM,199.995,,,
162,08/30/23 04:49:15 AM,199.746,,,
163,08/30/23 06:49:15 AM,199.432,,,
164,08/30/23 08:49:15 AM,199.973,,,
165,08/30/23 10:49:15 AM,199.091,,,
166,08/30/23 12:49:15 PM,199.468,,,
167,08/30/23 02:49:15 PM,199.571,,,
168,08/30/23 04:49:15 PM,199.135,,,
169,08/30/23 06:49:15 PM,198.412,,,
170,08/30/23 08:49:15 PM,197.161,,,
171,08/30/23 10:49:15 PM,196.766,,,
172,08/31/23 12:49:15 AM,196.254,,,
173,08/31/23 02:49:15 AM,195.837,,,
174,08/31/23 04:49:15 AM,192.645,,,
175,08/31/23 06:49:15 AM,194.485,,,
176,08/31/23 08:49:15 AM,198.057,,,
177,08/31/23 10:49:15 AM,198.916,,,
178,08/31/23 12:49:15 PM,199.782,,,
179,08/31/23 02:49:15 PM,199.315,,,
180,08/31/23 04:49:15 PM,199.369,,,
181,08/31/23 06:49:15 PM,199.549,,,
182,08/31/23 08:49:15 PM,200.035,,,
183,08/31/23 10:49:15 PM,200.471,,,
184,09/01/23 12:49:15 AM,200.477,,,
185,09/01/23 02:49:15 AM,200.777,,,
186,09/01/23 04:49:15 AM,200.803,,,
187,09/01/23 06:49:15 AM,200.905,,,
188,09/01/23 08:49:15 AM,200.792,,,
189,09/01/23 10:49:15 AM,200.471,,,
190,09/01/23 12:49:15 PM,199.885,,,
191,09/01/23 02:49:15 PM,199.176,,,
192,09/01/23 04:49:15 PM,198.595,,,
193,09/01/23 06:49:15 PM,198.269,,,
194,09/01/23 08:49:15 PM,198.646,,,
195,09/01/23 10:49:15 PM,199.387,,,
196,09/02/23 12:49:15 AM,200.225,,,
197,09/02/23 02:49:15 AM,201.146,,,
198,09/02/23 04:49:15 AM,202.185,,,
199,09/02/23 06:49:15 AM,203.088,,,
200,09/02/23 08:49:15 AM,204.558,,,
201,09/02/23 10:49:15 AM,205.553,,,
202,09/02/23 12:49:15 PM,205.754,,,
203,09/02/23 02:49:15 PM,205.996,,,
204,09/02/23 04:49:15 PM,206.200,,,
205,09/02/23 06:49:15 PM,205.611,,,
206,09/02/23 08:49:15 PM,205.450,,,
207,09/02/23 10:49:15 PM,205.446,,,
208,09/03/23 12:49:15 AM,205.728,,,
209,09/03/23 02:49:15 AM,206.156,,,
210,09/03/23 04:49:15 AM,205.074,,,
211,09/03/23 06:49:15 AM,205.454,,,
212,09/03/23 08:49:15 AM,206.730,,,
213,09/03/23 10:49:15 AM,207.513,,,
214,09/03/23 12:49:15 PM,207.246,,,
215,09/03/23 02:49:15 PM,206.643,,,
216,09/03/23 04:49:15 PM,206.628,,,
217,09/03/23 06:49:15 PM,206.463,,,
218,09/03/23 08:49:15 PM,206.489,,,
219,09/03/23 10:49:15 PM,206.788,,,
220,09/04/23 12:49:15 AM,202.119,,,
221,09/04/23 02:49:15 AM,198.166,,,
222,09/04/23 04:49:15 AM,197.852,,,
223,09/04/23 06:49:15 AM,199.117,,,
224,09/04/23 08:49:15 AM,206.160,,,
225,09/04/23 10:49:15 AM,205.919,,,
226,09/04/23 12:49:15 PM,205.955,,,
227,09/04/23 02:49:15 PM,206.091,,,
228,09/04/23 04:49:15 PM,207.557,,,
229,09/04/23 06:49:15 PM,207.279,,,
230,09/04/23 08:49:15 PM,203.155,,,
231,09/04/23 10:49:15 PM,203.520,,,
232,09/05/23 12:49:15 AM,205.937,,,
233,09/05/23 02:49:15 AM,205.958,,,
234,09/05/23 04:49:15 AM,202.347,,,
235,09/05/23 06:49:15 AM,202.302,,,
236,09/05/23 08:49:15 AM,204.660,,,
237,09/05/23 10:49:15 AM,199.798,,,
238,09/05/23 12:49:15 PM,200.079,,,
239,09/05/23 02:49:15 PM,200.068,,,
240,09/05/23 04:49:15 PM,199.600,,,
241,09/05/23 06:49:15 PM,198.946,,,
242,09/05/23 08:49:15 PM,198.887,,,
243,09/05/23 10:49:15 PM,198.160,,,
244,09/06/23 12:49:15 AM,197.332,,,
245,09/06/23 02:49:15 AM,200.590,,,
246,09/06/23 04:49:15 AM,200.862,,,
247,09/06/23 06:49:15 AM,202.679,,,
248,09/06/23 08:49:15 AM,205.030,,,
249,09/06/23 10:49:15 AM,203.637,,,
250,09/06/23 12:49:15 PM,203.629,,,
251,09/06/23 02:49:15 PM,203.399,,,
252,09/06/23 04:49:15 PM,202.661,,,
253,09/06/23 06:49:15 PM,201.652,,,
254,09/06/23 08:49:15 PM,195.238,,,
255,09/06/23 10:49:15 PM,195.395,,,
256,09/07/23 12:49:15 AM,197.600,,,
257,09/07/23 02:49:15 AM,194.481,,,
258,09/07/23 04:49:15 AM,196.846,,,
259,09/07/23 06:49:15 AM,202.986,,,
260,09/07/23 08:49:15 AM,203.139,,,
261,09/07/23 10:28:39 AM,,Logged,,
262,09/07/23 10:29:12 AM,,,Logged,Logged
