DateTime,040943_precip,042756_precip,047606_precip,043369_precip,USS0019L42S_precip,USS0019L38S_precip,USS0019L17S_precip,USS0019L13S_precip,USS0019L08S_precip,USS0019L07S_precip,044881_precip,041072_precip,040684_precip,045779_precip,US1CAMN0001_precip,US1CAMN0004_precip
2023-10-08,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-09,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-10,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-11,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-12,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-13,,,,,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,,,,,
2023-10-14,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-15,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-16,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-17,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-18,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-19,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-20,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-21,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-22,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-23,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-24,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-25,,,,,0.1000,0.1000,0.1000,0.1000,0.3000,0.3000,0.0000,,,,,
2023-10-26,,,,,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0500,,,,,
2023-10-27,,,,,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,,,,,0.0000
2023-10-28,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-29,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-30,,,,,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,,,,,
2023-10-31,,,,,0.0000,0.1000,0.0000,0.0000,0.3000,0.0000,0.0000,,,,,
2023-11-01,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,0.0000
2023-11-02,,,,,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,,,,,
